contradiction || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church has cracks in the ceiling.
entailment || a guy riding a motorcycle near junk cars || a man is riding a motorcycle.
neutral || a guy riding a motorcycle near junk cars || a man is sitting on a parked motorcycle waiting for his friend.
entailment || women of india performing with blue streamers, in beautiful blue costumes. || indian women perform together in gorgeous costumes
entailment || women of india performing with blue streamers, in beautiful blue costumes. || dogs sniff the air
neutral || women of india performing with blue streamers, in beautiful blue costumes. || indian women are performing a religious ritual together
entailment || a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. || a person is swimming.
contradiction || a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. || the swimmer is eating a toasted marshmallow.
neutral || a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. || the swimmer almost drowned after being sucked under a fast current.
entailment || the man in the black wetsuit is walking out of the water. || a man in a wetsuit walks out of the water carrying a surfboard.
entailment || the man in the black wetsuit is walking out of the water. || a person is walking out of water.
contradiction || the man in the black wetsuit is walking out of the water. || a man is laying on the beach.
neutral || five girls and two guys are crossing a overpass. || the extended family hike together on their family reunion.
neutral || five girls and two guys are crossing a overpass. || the three men sit and talk about their lives.
entailment || five girls and two guys are crossing a overpass. || there are people outside.
neutral || a person with a purple shirt is painting an image of a woman on a white wall. || a woman paints a portrait of her best friend.
entailment || a person with a purple shirt is painting an image of a woman on a white wall. || a woman paints a portrait of a person.
contradiction || a person with a purple shirt is painting an image of a woman on a white wall. || a woman paints a portrait of a monkey.
entailment || a woman is painting a mural of a woman's face. || there is a woman painting.
neutral || a woman is painting a mural of a woman's face. || there is a woman painting for fun.
contradiction || a woman is painting a mural of a woman's face. || there is a man tying his shoes.
entailment || a couple is eating outside at a table and he is pointing at something. || a couple is eating inside at a table and he is pointing at something.
entailment || a couple is eating outside at a table and he is pointing at something. || the man is pointing at a purse snatcher.
entailment || a couple is eating outside at a table and he is pointing at something. || people are eating at a table outside.
neutral || two women walk down a sidewalk along a busy street in a downtown area. || the women were walking downtown because the buses were on strike
contradiction || two women walk down a sidewalk along a busy street in a downtown area. || the women were picking berries in the countryside
neutral || two women walk down a sidewalk along a busy street in a downtown area. || the women were walking downtown
neutral || many people standing outside of a place talking to each other in front of a building that has a sign that says "hi-pointe." || the people are having a chat before going into the work building.
contradiction || many people standing outside of a place talking to each other in front of a building that has a sign that says "hi-pointe." || the group of people aren't inide of the building.
contradiction || many people standing outside of a place talking to each other in front of a building that has a sign that says "hi-pointe." || the people are sitting in the hotel lobby.
entailment || the flight attendant dressed in yellow demonstrates life vest usage. || a flight attendant is standing in front of passengers.
neutral || the flight attendant dressed in yellow demonstrates life vest usage. || a flight attendant is demonstrating safety procedures before takeoff.
contradiction || the flight attendant dressed in yellow demonstrates life vest usage. || a woman is preparing drinks on an airplane.
entailment || the girls walk down the street. || girls walk down the street.
contradiction || the girls walk down the street. || girls set down in the street.
neutral || the girls walk down the street. || girls were going to the park.
contradiction || a man wearing a red uniform and helmet stands on his motorbike. || a man sitting in a car.
entailment || a man wearing a red uniform and helmet stands on his motorbike. || a person standing.
entailment || a man wearing a red uniform and helmet stands on his motorbike. || a man standing on his motorbike.
entailment || a man of the cloth puts a black substance on a man's forehead. || the man puts something on the other mans head.
neutral || a man of the cloth puts a black substance on a man's forehead. || the women are at the park.
contradiction || a man of the cloth puts a black substance on a man's forehead. || the men are at church.
entailment || a person rolls down a hill riding a wagon as another watches. || two people are outside.
contradiction || a person rolls down a hill riding a wagon as another watches. || a person stares at an empty hill.
contradiction || a person rolls down a hill riding a wagon as another watches. || a child in a wagon rolls down a hill.
neutral || a boy holding onto the wall of an old brick house's raised foundation. || a boy holding onto the wall of an old brick house's raised foundation as construction occurs
entailment || a boy holding onto the wall of an old brick house's raised foundation. || a girl is leaning against the wall
neutral || a boy holding onto the wall of an old brick house's raised foundation. || a boy is against the wall of a raised foundation
neutral || bruce springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall. || bruce springsteen is from florida.
entailment || bruce springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall. || bruce springsteen is a singer.
neutral || bruce springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall. || bruce springsteen is gay
neutral || six dogs swimming in a river. || six dogs swim across the river.
entailment || six dogs swimming in a river. || six dogs are outdoors.
contradiction || six dogs swimming in a river. || the puppies are setting on the couch.
neutral || a man and woman are taking a picture of themselves while a woman in a scarf walks by them. || a man and woman have mug shots taken because they have been arrested.
neutral || a man and woman are taking a picture of themselves while a woman in a scarf walks by them. || a man and woman take selfies while a woman walks by and judges them.
neutral || a man and woman are taking a picture of themselves while a woman in a scarf walks by them. || a man and woman take selfies of themselves.
entailment || a group of people dancing together. || people are dancing.
neutral || a group of people dancing together. || they are doing the tango.
contradiction || a group of people dancing together. || no one is dancing.
contradiction || men wearing blue uniforms sit on a bus. || men sit on the bus.
neutral || men wearing blue uniforms sit on a bus. || men sit on the bus going to work,
contradiction || men wearing blue uniforms sit on a bus. || men drive the bus into the ocean.
entailment || two men climbing on a wooden scaffold. || two people climbing on a wooden scaffold.
neutral || two men climbing on a wooden scaffold. || two women climbing on a wooden scaffold.
neutral || two men climbing on a wooden scaffold. || two sad men climbing on a wooden scaffold.
contradiction || a bird is flapping its wings on the water. || the bird is flying over the trees.
contradiction || a bird is flapping its wings on the water. || the duck is swimming in the lake.
neutral || a young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air. || a young boy is playing in a feild.
neutral || a young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air. || a young boy is playing in the field because his mother kicked him out of the house.
contradiction || a young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air. || a young boy is playing video games indoors.
neutral || six or seven people are standing on a pier with a table and a pair of glasses in the foreground. || they are going fishing.
contradiction || six or seven people are standing on a pier with a table and a pair of glasses in the foreground. || six or seven people are standing on a pier.
neutral || six or seven people are standing on a pier with a table and a pair of glasses in the foreground. || they are in a boat.
entailment || a person in a red shirt and black pants hunched over. || a person wears a red shirt.
entailment || a person in a red shirt and black pants hunched over. || the person is a woman.
entailment || a person in a red shirt and black pants hunched over. || the person is wearing a green shirt.
neutral || this child is on the library steps. || the child is on the school steps.
entailment || this child is on the library steps. || the child is on the steps.
contradiction || this child is on the library steps. || the child is on the steps inside the library.
contradiction || the tattooed basketball player is about to dunk the ball. || the man is playing football..
contradiction || the tattooed basketball player is about to dunk the ball. || the person is playing basketball.
neutral || the tattooed basketball player is about to dunk the ball. || the player has a tattoo that says mother.
neutral || a boy in a red hooded top is smiling whilst looking away from his reflection. || a boy in a red hood is happy.
neutral || a boy in a red hooded top is smiling whilst looking away from his reflection. || the boy doesn't want to see his reflection.
entailment || a boy in a red hooded top is smiling whilst looking away from his reflection. || the boy is upset.
entailment || a man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt. || the man is wearing a gray cap.
neutral || a man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt. || the man is wearing a blue cap.
neutral || a man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt. || the man is cold.
neutral || an old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow. || an old woman has a light jean jacket.
entailment || an old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow. || an old woman has a jean jacket.
contradiction || an old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow. || an old woman has no jacket.
neutral || a newlywed couple laughing and talking amongst themselves. || the couple is having fun.
neutral || a newlywed couple laughing and talking amongst themselves. || the couple just got married.
contradiction || a newlywed couple laughing and talking amongst themselves. || the couple is divorced.
contradiction || a black man in a long sleeves white collared shirt and a tie is walking to work in a big city. || the man is wearing shorts and a t-shirt as he jogs.
entailment || a black man in a long sleeves white collared shirt and a tie is walking to work in a big city. || the man is moving.
neutral || a black man in a long sleeves white collared shirt and a tie is walking to work in a big city. || the man is wearing work attire and is walking to his job.
entailment || several younger people sitting in front of a statue. || several young people sitting outside
contradiction || several younger people sitting in front of a statue. || several young people are sitting in an auditorium
contradiction || several younger people sitting in front of a statue. || several young people sitting in a school courtyard
neutral || a group of adults stands in the bathroom looking down a small child in the bath. || the childs mom is watching her son with her friends.
neutral || a group of adults stands in the bathroom looking down a small child in the bath. || people are in the house.
contradiction || a group of adults stands in the bathroom looking down a small child in the bath. || the child is sleeping.
entailment || a goofy looking woman is singing on stage. || a woman is singing.
contradiction || a goofy looking woman is singing on stage. || a woman is reciting poetry on the stage.
contradiction || a goofy looking woman is singing on stage. || a blonde woman is singing and dancing on the stage.
contradiction || the girl wearing a brown jacket whilst walking in snow. || a woman is eating pasta in a restaurant.
neutral || the girl wearing a brown jacket whilst walking in snow. || the lady wearing a jacket is looking for her lost dog.
entailment || the girl wearing a brown jacket whilst walking in snow. || the girl is walking outside.
neutral || a man, woman, and child get their picture taken in front of the mountains. || a family on vacation is posing.
entailment || a man, woman, and child get their picture taken in front of the mountains. || people are outdoors.
contradiction || a man, woman, and child get their picture taken in front of the mountains. || a family is in their car.
entailment || people are standing near water with a boat heading their direction || the people are standing.
neutral || people are standing near water with a boat heading their direction || people are standing near water with a large blue boat heading their direction.
contradiction || people are standing near water with a boat heading their direction || people are waiting in line at the restaurant.
entailment || four adults eat while sitting on a tile floor. || two couples eat food on a kitchen floor.
neutral || four adults eat while sitting on a tile floor. || two couples play pool in a bar.
entailment || four adults eat while sitting on a tile floor. || a group of people eat food.
contradiction || a dog standing near snow looking at water. || a cat is laying on the couch.
entailment || a dog standing near snow looking at water. || animal is outdoors.
neutral || a dog standing near snow looking at water. || the dog is thinking about going to for a swim.
neutral || an older man leans against a pedestal outside of an ornate building. || an older man is leaning outside his nursing home
contradiction || an older man leans against a pedestal outside of an ornate building. || a young man is jogging
entailment || an older man leans against a pedestal outside of an ornate building. || an older man leans outside a building
contradiction || a person in orange clothing rests above a metro entrance. || a person is sitting at a baseball game.
entailment || a person in orange clothing rests above a metro entrance. || someone is standing near a metro station.
neutral || a person in orange clothing rests above a metro entrance. || a person is waiting for a train.
neutral || a girl in a blue dress takes off her shoes and eats blue cotton candy. || the girl is eating blue cotton candy at a carnival.
neutral || a girl in a blue dress takes off her shoes and eats blue cotton candy. || the girl in a blue dress is a flower girl at a wedding.
entailment || a girl in a blue dress takes off her shoes and eats blue cotton candy. || the girl is eating while barefoot.
entailment || a black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement. || the man is asian
entailment || a black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement. || the man is playing
contradiction || a black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement. || the man is at home sleeping
neutral || a basketball player with green shoes is dunking the ball in the net while the arena crowd looks on. || a man is making a sandwich while a crowd gasps in awe.
entailment || a basketball player with green shoes is dunking the ball in the net while the arena crowd looks on. || a crowd is watching someone play basketball.
neutral || a basketball player with green shoes is dunking the ball in the net while the arena crowd looks on. || a famous nba player is playing street ball in front of a crowd.
entailment || a frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons. || a group of people are standing outside.
neutral || a frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons. || an angry military veteran watches as people protest the war.
contradiction || a frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons. || a man is watching a group of people having a hot dog eating contest.
entailment || a woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag. || a woman on a bike.
neutral || a woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag. || a woman riding a bike to work.
contradiction || a woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag. || a woman driving a car.
entailment || a skateboarding youth does a trick on a rail. || a young person on a skateboard.
contradiction || a skateboarding youth does a trick on a rail. || a man painting a tree.
neutral || a skateboarding youth does a trick on a rail. || a young boy showing his new skateboard tricks to his friends.
neutral || a guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him. || he is wearing a button-up shirt.
contradiction || a guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him. || his bald head is exposed.
entailment || a guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him. || a man is crouching on a handrail.
neutral || girl in a red coat, blue head wrap and jeans is making a snow angel. || a girl in a red coat makes a snow angel for the first time.
contradiction || girl in a red coat, blue head wrap and jeans is making a snow angel. || girl in a black coat stays indoors away from the snow.
entailment || girl in a red coat, blue head wrap and jeans is making a snow angel. || a girl outside plays in the snow.
contradiction || a group of people gathered at night watching an event. || the group of friends are asleep.
entailment || a group of people gathered at night watching an event. || a group of humans are looking at the same direction.
neutral || a group of people gathered at night watching an event. || a group of friends are watching the music concert at night.
entailment || the american footballer in yellow catches the ball whilst under pressure from the payer in white. || the football player is under duress.
neutral || the american footballer in yellow catches the ball whilst under pressure from the payer in white. || the american football player in yellow catches the ball while under pressure from the player in white.
contradiction || the american footballer in yellow catches the ball whilst under pressure from the payer in white. || the basketball player shoots a three pointer.
neutral || a person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd. || a person is enjoying a sporting event.
contradiction || a person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd. || a person is dancing and singing.
entailment || a person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd. || a person is standing outdoors.
contradiction || a girl holding a beverage points at a painting. || the girl is in the bathtub
neutral || a girl holding a beverage points at a painting. || the girl is drinking an alcoholic beverage.
entailment || a girl holding a beverage points at a painting. || the girl has a beverage.
neutral || a man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag. || a man in a black shirt, in a commercial kitchen, holding up the old meat he took out of a bag.
neutral || a man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag. || a woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.
neutral || a man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag. || a man in a shirt, in a commercial kitchen, holding up meat he took out of a bag.
neutral || a person in a red shirt is mowing the grass with a green riding mower. || a person in red is swimming in the olympics.
entailment || a person in a red shirt is mowing the grass with a green riding mower. || a person in red is moving grass on a john deer motor.
entailment || a person in a red shirt is mowing the grass with a green riding mower. || a person in red is cutting the grass on a riding mower
contradiction || group of people wearing black shirts riding in an open top vehicle. || a group of people go down the road in a convertible.
neutral || group of people wearing black shirts riding in an open top vehicle. || the driver was wearing a purple shirt.
entailment || group of people wearing black shirts riding in an open top vehicle. || froends ride in an open top vehicle together.
neutral || two men prepare a fish at a dock. || two men have just come in from fishing all day
entailment || two men prepare a fish at a dock. || two men are cleaning their fish
contradiction || two men prepare a fish at a dock. || two men are sitting in a canoe with their fishing poles
neutral || a woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror. || the woman is a model.
entailment || a woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror. || the woman has something on her face.
contradiction || a woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror. || the woman is blind.
entailment || a man in an alaska sweatshirt stands behind a counter. || the man is wearing a tank top.
neutral || a man in an alaska sweatshirt stands behind a counter. || the man is from alaska.
entailment || a man in an alaska sweatshirt stands behind a counter. || the person behind the counter is a man.
contradiction || a large group of people walking in a busy city at night. || people are eating lunch in a restaurant.
entailment || a large group of people walking in a busy city at night. || people are walking a city.
entailment || a large group of people walking in a busy city at night. || people are outside in a park.
entailment || a woman, in red and white, and wearing glasses, sits in a room with other people. || a woman is sitting in a room with other people.
contradiction || a woman, in red and white, and wearing glasses, sits in a room with other people. || a woman is on her phone sitting in a room.
neutral || a woman, in red and white, and wearing glasses, sits in a room with other people. || a man is fixing his car.
neutral || a softball player throws the ball to her teammate. || teammates are competing in a softballs championship.
entailment || a softball player throws the ball to her teammate. || two people are playing softball.
contradiction || a softball player throws the ball to her teammate. || two softball players are sitting on a bench.
entailment || a biker races. || a person is riding a bike
neutral || a biker races. || the biker loses the race
contradiction || a biker races. || the car is yellow
entailment || two little boys are smiling and laughing while one is standing and one is in a bouncy seat. || there are two little boys smiling.
contradiction || two little boys are smiling and laughing while one is standing and one is in a bouncy seat. || the little boys are crying.
neutral || two little boys are smiling and laughing while one is standing and one is in a bouncy seat. || the boys are siblings playing with each other.
contradiction || island native fishermen reeling in their nets after a long day's work. || the men caught many fish.
contradiction || island native fishermen reeling in their nets after a long day's work. || the men did not go to work today but instead played bridge.
neutral || island native fishermen reeling in their nets after a long day's work. || the men are finishing their day of work.
entailment || these are young adults who seem to be working together to protect the plants surrounding the white pole. || the plants are ferns
contradiction || these are young adults who seem to be working together to protect the plants surrounding the white pole. || the adults are young
contradiction || these are young adults who seem to be working together to protect the plants surrounding the white pole. || the adults are old
neutral || two college football players battle it out outdoors on the field during game day, where one is the quarterback trying to throw the ball, and the other player is in action about to sack the quarterback. || two teams from rival colleges are in the fourth quarter of a game.
