Test Accuracy : 0.4711
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
neutral || contradiction || but he did disprove, for an unimportant but magnificent moment, w. h. auden's dictum that poetry makes nothing happen. || his attempt to contradict w.h. auden ended in failure.
entailment || entailment || i'm flat on my back, and there's a life flashing before my eyes. || i am on my back.
neutral || neutral || you will understand me when i say that it was a deadly life for a girl brought up as i had been.  || i was a thief who lived on the edge, stealing from the rich.
entailment || entailment || i know what you mean. || i understand you.
entailment || entailment || between 1959 and 1962 approximately 200,000 cubans, primarily professionals and affluent landowners, fled the country. || many of the affluent population fled the country after 1959. 
contradiction || contradiction || yeah i don't think that some people i don't think have uh a year in them to volunteer if you know what i mean they're not worth it || everyone volunteers, there's no reason not to. 
entailment || contradiction || it was begun around 355 b.c. at the behest of the king (the word mausoleum is derived from his name) and remained standing until at least the 12th century. || it began around 700 b.c. at the behest of the queen.
neutral || neutral || i have a treat for you today, said jon. || the treat you will get is a chocolate cake.
neutral || contradiction || for each copy sold, i get $1. || each copy brings me $100.
entailment || entailment || you know but i'm sure there's something can be done || i think there's something that can be done about it.
contradiction || contradiction || jonathan bulkeley, ceo of barnesandnoble.com, resigned in order to, yes, spend more time with his family . in response, the stock dropped 63 cents . must be comforting to know that's how much difference investors thought his departure would make. || jonathan bulkeley is still the ceo of barnes and nobles.
neutral || neutral || however, even these revisionists agree that the jews had not intended to evict muslims from palestine. || some revisionists, while agreeing that the jewish people had not intended to evict the muslim population from palestine, also agree that they did so willingly even though it was not the original intention.
contradiction || contradiction || but should it? || it cannot.
contradiction || entailment || egypt became a backwater, even more so as the ottoman empire went into chronic terminal decline in the 18th century, with a series of crises that local mamelukes were unable to control. || the ottoman empire was a disaster.
entailment || entailment || right right or at least loans  that they pay off || at a minimum, the loans that they pay off.
contradiction || contradiction || now he was disturbed that shannon could prick him so. || he loved that shannon didn't bother him.
entailment || neutral || may not be so severe. || it either will be really severe, or it won't.
entailment || neutral || it heralded the first great phase of development in science and architecture; hieroglyphs were developed and the first great building phase took place. || in addition to the emergence of hieroglyphs and the first great building phase, the acquisition of power by the first dynastic rulers marks the first great phase of development in science and architecture.  
entailment || contradiction || the um-hum well i lived in new york for a long time so texas is texas weather is quite uh different for me || new york and texas generally have the same weather.
neutral || neutral || other postemployment benefits (opeb) - forms of benefits provided to former or inactive employees, their beneficiaries, and covered dependents outside pension or orb plans. || there are benefits supplied to most former employees.
neutral || neutral || from before the 1983 amendment until 1986, the categories of eligible aliens  (1) an alien lawfully admitted for permanent residence; (2) an alien who was either married to a united states citizen or was a parent or an unmarried child under the age of twenty-one years of such a citizen and who had filed an application for adjustment of status under the ina; (3) an alien who was lawfully present in the united states as a refugee or who had been granted asylum by the attorney general; (4) an alien who was lawfully present in the united states as a result of the attorney general's withholding of deportation; and (5) an alien lawfully present in the united states as a result of being granted conditional entry. || the amendment was fair to the aliens.
entailment || neutral || i always do that i got to do something like that with the weather || i do things with the weather, like measure the humidity.
contradiction || contradiction || another example is the mandates issue. || the mandates issue is not an example.
contradiction || entailment || from here and the burgeoning area between les halles and place des victoires, haute couture houses and ready-to-wear (prat-a-porter) boutiques have spread to the left bank around st-germain-des-pres. || the boutiques have spread to the left bank around st-germain-des-pres.
neutral || entailment || now the lark was somewhat tense and you could feel it in the air. || the mood of the lark had become rather tense.
entailment || entailment || it suggests that the number of deaths in non-elderly populations (and thus the potential for greater loss of life years) may be significant. || it suggests that the amount of deaths in younger populations may be significant.
neutral || entailment || until recently, millions of green-card holders were content to live in the united states as resident aliens. || it was not til lately but they were happy to live in the country.
contradiction || contradiction || nrcs submitted that analysis to the general accounting office on may 29, 1997, along with a copy of its final rule. || nrcs has kept the analysis a top secret.
contradiction || neutral || to ensure the right level of knowledge at each key decision point in product development, leading commercial companies separate technology from product development and take steps to ensure the product design is stabilized early so product performance and producibility can be demonstrated before production. || product design is always best stabilized early.
neutral || neutral || either lee or chang or wong. || it was lee who killed the tiger.
contradiction || contradiction || and uh you know she just brought the cat in because he wasn't feeling good   so that that was a kind of a surprise  at least at || the cat is always in superb health.
contradiction || contradiction || leave it to me. she bent down. || don't count on me, she stood up.
neutral || contradiction || boycott the web || just keep going on the internet like you have been.
neutral || contradiction || today, a tour of the capital takes you through a mixture of imposing ministries and embassies, modern office buildings and hotels, and along the old delhi of vibrant hindu and muslim communities crowding in on the mughal monuments. || today's tour is a great opportunity to experience the countryside and wilderness.
entailment || contradiction || france is blessed with an astonishing variety of  long, high dunes on the atlantic coast; craggy coves in brittany; vineyards in burgundy; steep gorges in the tarn; olive trees and vineyards, umbrella pines and cypresses in provence; and lazy beaches in the cete d'azur. || france is lucky to have steep gorges in burgundy.
contradiction || contradiction || however, the real question is whether under the current tax code, all other things being equal, you are better off living together unmarried than tying the knot. || the answer is known.
entailment || contradiction || although powerful technical controls, such as those involving encryption, are becoming increasingly available to facilitate information security, effective implementation requires that these techniques be thoughtfully selected and that their use be monitored and managed on an ongoing basis. || encryption is an example of a technical control that is exceedingly rare in information security.
entailment || entailment || from our work, we identified a number of practices common to successful efforts to become more results-oriented. || there is a correlation between certain practices and successful efforts.
entailment || contradiction || we went to the play-offs || we ventured to the center of the earth.
neutral || neutral || it was people who advocate democracy who had black people lynched from one end of this country to another. || these people are having trouble adapting to a different time with a different political atmosphere.
neutral || entailment || he had passed the first test. || he did well on the test.
contradiction || contradiction || just to the east of town is a small scruffy bay that comes to life at night. || to the east is an expansive bay with no nightlife at all.
neutral || entailment || ) thompson used to be a fabulous reporter. || thompson was a great reporter.
entailment || entailment || what we have learned from the research to date gives us some direction as to how to implement interventions in emergency settings to reduce drinking and alcohol related risks. || the research has shown how we can lower risks from drunk emergency room patients.
contradiction || entailment || this interest rate is both paid on outstanding debt held by the public and earned on nonfederal financial assets acquired by the government once debt held by the public is eliminated. || the interest rate is paid and earned.
entailment || contradiction || unlike white he didn't seem badly hurt, just very unconscious. || his injuries seemed more serious than white's. 
contradiction || entailment || almost half of madeira's 270,000 people live in funchal (pronounced  foon-shawl ), and cruise-ship passengers stride ashore daily for a frenzied flurry of sightseeing and shopping. || the population of madeira is only 270,000.
entailment || neutral || well i the biggest uh way it's going right now uh lot most of the grocery stores || the grocery stores are bigger.
entailment || neutral || with with uh the movie stars and and the singers and everything || i really enjoyed it with the singers included.
entailment || entailment || it is nice he matter of fact he was here today it was the first really warm weather we've had and he came out and cut the yard and trimmed the hedges and all that || he came today and mowed the lawn and trimmed the hedges.
entailment || contradiction ||   the agency procurement request for a delegation of procurement authority from gsa, showing names and experience of senior project officials (as required by gsa guidance detailed in its firmr bulletin c-5). || the agency procurement request shows names and experience of known suspects.
entailment || contradiction || performance objectives that senior executives work to achieve during the year. || senior executives get to work towards whatever goals they feel like.
neutral || entailment || while it is the responsibility of the cio to execute the specific responsibilities of his or her position, it became clear to us during our case studies that the successful cio relies extensively on both vertical and horizontal relationships within the enterprise in order to carry out these responsibilities. || a cio relies on relationships within the enterprise to follow through their responsibilities.
entailment || contradiction || to the contrary, jacob, he declared. || that is true, jacob.
neutral || contradiction || during the 19th century some criollos (particularly in oriente, the island's poorer, eastern region) became increasingly disenchanted and desired greater autonomy. || during the 19th century some criollos were happy with the way the government was treating them. 
contradiction || contradiction || situated in the middle of the cartmel peninsula south of lake windermere, the village of cartmel has been at the heart of some important events in english history. || located on an island, cartmel is a relatively unknown town.
neutral || neutral || i don't suppose that everyone is like that. || i doubt everyone is a lying liar who lies. 
neutral || entailment || in other words, the force. || also known as the army.
neutral || entailment || but in assessing computer-processed data, the focus is on one test in the evidence standard-competence-which includes validity and reliability. || computer processed data needs to be valid and reliable.
contradiction || entailment || because the program is just starting in vacaville, only two attorneys are available during the two-hour sessions. || the program only has two attorneys so far.
entailment || contradiction || they hover and buzz, like bluebottles. || bluebottles are unable to hover.
neutral || entailment || whenever iraq claimed (quite rightly) that arms inspections were a violation of iraqi sovereignty, we could and should have responded, bugger your sovereignty--this is war. || the iraqi complaints about the arms inspections should have been responded.
entailment || entailment || the villager with the sword shouted something. || they were yelling while holding a weapon.
contradiction || contradiction || plantations and slavery || human rights and farms.
contradiction || contradiction || but many of the clients served by the women's haven outreach programs are the working poor, who don't qualify for free legal services. || the women's haven outreach programs do not serve any people with jobs.
entailment || entailment || it's not always an easy city to love, but few leave unimpressed. || the city leaves an impression on almost everyone.
neutral || contradiction || the admonition, you become what you behold, has yielded to you become what you belittle. || 'you become what you belittle' has changed to 'you become what you behold'.
contradiction || neutral || lost her memory, eh? said tommy with interest. || she doesn't remember anything or anybody from her past.
entailment || contradiction || one of the boys, the smallest, smiled at susan. || susan saw a frown on the boy's face.
contradiction || neutral || lady tadminster's sister, you know.  || everyone knew lady tadminster's sister.
entailment || entailment || poirot followed me down the narrow stairs.  || i walked down the stairs with poirot behind me. 
neutral || entailment || still, the prostaglandin is an inadequate fix for almost half of its users. || prostaglandin only works as a fix for more than half of its users.
entailment || neutral || oh yeah and see i was i was really thinking that they might have a let down because i i i was in a basketball pot and i picked uh kansas for i guess more or less an upset but i i was thinking that uh duke might have a let down after playing such a tough game with unlv but uh i tell you what they uh they came back and put it to them it was a good game but i i i had thought all the way through that unlv was going to be the team that would just walk away with it || duke played a good game, and they won as a result.
entailment || entailment || there is a selection of english books, including many titles devoted to turkish history, art, and architecture. || an assortment of english books are available - some about turkish history.
contradiction || contradiction || but i think they would lose market share if they did not allow users to disable the system with a click of the mouse, which i take it, they do. || i don't think they allow users to disable the system, that's why they're failing.
neutral || neutral || the merger was completed peacefully within a year of the federal order. || they were happy with the merger.
contradiction || contradiction || against all this, morris shows footage of leuchter chiseling at auschwitz and even adds some of his own, along with slow-motion shots of hammers bashing rocks, walls, floors, etc. || morris never showed footage of leauchter chiseling at auschwitz.
entailment || neutral || yeah we have a couple of those too we uh we haven't planted a garden yet we moved to moved here from colorado not too long ago where we had a really big garden but here i i know i hear i hear that the uh growing is a little bit different have you had a garden || growing things here is more difficult compared to colorado.
contradiction || contradiction || i saw those who forged a nation from fire and blood and they birthed a beautiful dream. || the nation was never born.
neutral || entailment || brown says she's leaving for the opportunity to transcend the print medium and to own what we create. || brown is changing the way she publishes her creations.
entailment || neutral || important also is that if the improved service is not feasible, the mailer could decide to use an alternative to the postal system. || a mailer usually uses the postal system.
entailment || entailment || two days later, on fox news sunday , gigot still has no answer, asking, is this a republican or democratic congress? || gigot reports on fox news sunday.
neutral || neutral || 'stay behind a moment, would you? we need to talk.' || try to stay behind a bit, i want to talk to you about something that i wouldn't want everyone else here to hear.
neutral || neutral || italy has no more magnificent testimony of its greek colonies than this complex of wonderfully preserved doric temples, a 40-minute drive south from salerno, dating back to the fifth and sixth centuries b.c. || these former colonies are still inhabited by an industrious population that see fit to keep their living places in great condition.
entailment || neutral || for master p, neither is an appealing prospect. || master p is very picky in regards to projects to pursue.
entailment || entailment || as the cross elasticities become larger, the efficient discount levels move closer to the ecp level and the associated welfare gains available become quite small. || cross elasticities get larger. 
neutral || contradiction || a message, which could be deciphered by a forward (yes, forward, not backward) zero-one code: copy-paste. || a message was a love letter.
contradiction || entailment || as rajagriha, the capital of the magadha kingdom, the town was frequented at different times by both buddha and his contemporary vardhamana mahavira, the founder of the jain religion. || rajagriha was the capital of the magadha kingdom.
contradiction || neutral || you're always paying for something you know || nothing is free. 
entailment || entailment || the traditional leather sandals (flat soles with leather straps) are still sold in the streets of rethymnon and chania. || in rethymnon and chania, one can buy traditional leather sandals.
contradiction || contradiction || i have a treat for you today, said jon. || you will get nothing from me today.
entailment || neutral || it continues through the turbulent eras of scottish history for both church and state, and on to the industrial developments of modern times. || there are turbulant areas in scottish history that involve alot of murder and unrest.
neutral || neutral || drew had an impression of bright, almost gaudy uniforms. || drew envisioned bright uniforms on the guards in his head.
entailment || entailment || the most visible gallic touch in this bastion of the french colonial adventure in india is the scarlet k??pi worn by the white-uniformed traffic police waving you on as you drive into town. || parts of india has been influenced by the gallic culture.
neutral || neutral || land speculators and locals alike were anxious to own a part of the newest railroad boomtown, and within an afternoon, more than 80 percent of the lots were sold. || the anxiety caused some to sweat profusely in anticipation.
entailment || neutral || some magnetic influence that irresistibly impelled mrs. vandemeyer to commit suicide?" tommy looked at him with respect. || there was a magnetic influence that caused mrs. vandemeyer to commit suicide.
entailment || contradiction || his hand went to his holster, and drew's fist came down on the texan's wrist, hard. || drew stood idly aside as the texan went for his holster.
entailment || neutral ||  "that is not what i was about to say, senor rivas. || you assume things too quickly.
contradiction || contradiction || when his family fell on hard times, degas blamed it on the jews. || degas' family has been very fortunate to never have experienced difficult times.
contradiction || contradiction ||  "back at town, rennie, at doc's. || renny, he ran away from the doctor.
neutral || entailment || this is in part because the island remained under catholic venetian rule far longer than other islands in the aegean from 1207 to 1714 but also because it was t he scene of a blessed miracle, ensuring its fame throughout the catholic community in greece. || this island is famous with the catholic community because a miracle took place here. 
contradiction || contradiction || and obviously and obviously it's where they don't have a any post graduate program there but you get a an excellent wide uh basis of topics you know you get a good broad education out of it you don't they don't graduate the best engineers or the best english majors but || they don't have a wide selection of topics to choose.
contradiction || contradiction || publishers regularly write bonuses into contracts to factor in the possibility that a book will makes the times list. || there is no possibility of obtaining a bonus in the publishing industry.
neutral || contradiction || the other woman began to cry in fright. || the women cried because her mother died.
neutral || neutral || you can view it from the building opposite before going behind the temple to see the sacred bull, stained deep vermilion by the libations of its worshippers. || worshipers pour red wine on the bull as an offering.
neutral || entailment || i decided to go for a walk- a harmless poke around town. || they wanted to walk around town.
neutral || neutral || next to the church, an arched 16th-century gateway marks what was the entrance to ancient and medieval rome along the via flaminia, leading from rimini on the adriatic coast. || the arched gateway is fifteen feet high and six feet wide.
entailment || contradiction || yeah i haven't had to replace the thing yet it looks like it would be uh better than having i've got an an olds tornado that i think's got six belts on the sucker and i had to get all those off you know when i was replace that uh water pump and uh || i didn't replace the water pump.
contradiction || neutral || well we haven't really heard that much in the news lately about uh us involvement in latin america since uh all this middle east crisis began so i haven't really paid that much attention like since || i don't imagine the situation has gotten any better.
contradiction || entailment || what's the matter? i asked, sitting up in bed, and trying to collect my scattered thoughts.  || what's wrong? i asked. 
neutral || contradiction || (and by we, i of course mean, me, george orwell, and the gang up at chiatt day.) || by we, i mean myself, and a few friends that hate george orwell.
entailment || entailment || by gallant's own admission in the introduction, she composes with an eye to craft, not the deeper heart of a story. || gallant wrote an introduction in which she admits to composing with an eye to craft. 
neutral || neutral || but his web site can continue to pump out a netcast with no interference. || producing netcast is important to maintaining the system.
entailment || entailment || how those emotions are generated i cannot explain. || i can't explain how one would come to those emotions.
entailment || contradiction || the streets were alive with trade and travel. || the street was a ghost town.
neutral || entailment || the church has granite statues of jesus and the apostles adorning its porch. || the disciples along the porch of the church has statues of jesus.
entailment || contradiction || (from mid-april to october, boats run daily from alicante and santa pola, whence the sea voyage takes half as long. || from mid-april to october, boats do not run from alicante and santa pola.
entailment || entailment || the cat itself, on a small panel above the entrance, is said to have been sculpted by hidari jingoro, a legendary master carver of the tokugawa period. || in the tokugawa period, there was a carver named hidari jingoro.
contradiction || entailment || (it is illegal to ship alcoholic beverages. ) || it is forbidden to send alcoholic drinks.
contradiction || contradiction || there are other differences as well. || no differences are known.
contradiction || neutral || after some reflecting, i decided to take john into my confidence, and leave him to make the matter public or not, as he thought fit.  || i felt he ought to know what exactly i had discovered about the affair.
contradiction || contradiction || inland from both gosier and sainte-anne is a peaceful region of green hills, or mornes, as they're known in the west indies. || the region around gosier is rather flat.
contradiction || entailment || bush : seems like to me `thou shalt not kill' is pretty universal. || bush thinks killing is wrong.
entailment || neutral || officials in boulder, colo., have hired two ex-stars from the o.j. trial. || the stars were part of the chief testimony of the prosecution.
entailment || entailment || right i've also always thought about the idea you know most sports you know which are the n r a and people have their thing you know if you ban guns you're just banning the the recreation the sport of hunting things of that nature most of that's done with rifles and such uh though there's you know probably i'm sure some sector that does it with handguns but just by the mere fact of outlawing handguns would make it so that it would be not as conspicuous you couldn't be inconspicuous when you walked into a store stuff like that you could see someone coming or dressed inappropriately || i can see the benefits of banning handguns.
neutral || contradiction || the model is the same as that used by cohen, et al. || the model is the very different from the one that cohen uses.
contradiction || entailment || the official versailles web site (&lt;www.chateauversailles.fr&gt;) is well-organized and full of useful information. || www.chateayversailles.fr, the official website of the versailles is very easy to navigate.
neutral || neutral || thank you it's nice to have someone understand that || i have had a hard time explaining this to other people.
entailment || contradiction || information sharing and coordination among organizations are central to producing comprehensive and practical approaches and solutions to combating computer-based threats. || combating computer-based threats does not necessitate coordination among organizations.
entailment || neutral || agde presents a somber face ' many of its buildings were constructed from the local volcanic basalt, including the 12th-century cathedrale saint-etienne ' but the narrow streets on the hill leading up to the market square are cheerful and friendly. || the cathedral is still in use as a parish church.
contradiction || entailment || 12612, nhtsa determined that the proposed rule would not have sufficient federalism implications to warrant preparation of a federalism assessment. || nhtsa determined that the proposed rule would not have sufficient federalism implications
contradiction || contradiction || an' i seen you go down; a slug got you plumb center! the texan sputtered. || the texan didn't witness any shooting. 
entailment || entailment || the last data report available to us is for 1997. || 1997 is the most recent data report we can access.
entailment || entailment || plastics, dyes, pharmaceuticals, solvents. || there were dyes and solvents.
neutral || neutral || you're thinking about making love to a woman. || you're thinking about making love to a woman with blonde hair.
neutral || neutral || if you stay in the lake district for more than a few days you're sure to find a favorite. || if you stay long, you'll find a reason you'll want to come back every year.
contradiction || entailment || in snip's offer, 10 percent of $5 million ($500,000) plus 89 percent of $1 million ($890,000) equals $1. || snip is obviously very bad at even basic math.
neutral || neutral || statuary found all around the kingdom depicts both the important deities osiris, hathor, isis and others and the pharaohs of the major dynasties. || the ancient egyptians were giving a great importance to pharaohs, they were like gods.
neutral || neutral || and on capital gang , the team ran out the clock with silly segments on what hypothetical gift each of the panelists would give to various politicians, and what hypothetical gift they would give to each other. || on capital gang everyone had fun when discussing the gifts they would give politicians and one another.
contradiction || contradiction || a deep chill ran through him as he stared down nearly a thousand feet to the razor sharp rocks peaking through the fog below. || he thought it would be easy to go down through all the rocks.
entailment || neutral || it tried to regain its independence from rome, but proved too small and weak, and was conquered by emperor septimius severus in a.d. 196. || rome wanted to keep it under control to exploit the natural resources of the region.
neutral || contradiction || together, these characteristics, among others, differentiate the federal cio environment from other environments. || these characteristics prove the federal cio environment is the same as other environments.
contradiction || contradiction || for the first time, and at the judiciary's request, rhudy has sent every new legislator an orientation package about legal help for the poor. || no orientation package was given to new legislators.
neutral || neutral || the human genome project, in fact, was built using the infrastructure of the nuclear-weapons program, taking over unused labs at los alamos, berkeley, and livermore. || this is the 45th year government executive magazine has handed out awards.
entailment || entailment || the ethnographic museum, opposite, recreates the interiors of traditional local houses. || in the ethnographic museum are recreations of the insides of local houses.
neutral || neutral || and because the value of an option depends positively on volatility--the uncertainty about the future value of the underlying asset--the rational way to maximize the value of that option is to invest the money in the riskiest, most volatile assets you can find. || investing in the riskiest asset will result in a very positive outcome.
entailment || entailment || last march, surgeons operated in vivo on a 6-month-old fetus suffering from excessive water in his brain. || surgeons operated on a 6 month old fetus.
contradiction || contradiction ||  his voice carried clearly. || is voice was not easy to make out.
entailment || neutral || you might say this is my type. || the person has a peculiar taste. 
entailment || entailment || collateral -real or personal property pledged as part or full security on a debt. || property, whether real or personal, can be offered as collateral.
contradiction || contradiction || yeah that yeah i don't know if that's such a big problem here in dallas || i think this is a huge problem here in dallas.  
entailment || entailment || it's um it's just as long as you want to i mean it's just a || as long as you like.
entailment || neutral || aberdeen, the island's oldest settlement, once a pirate lair, is home to the floating population ' the boat people who spend their entire lives on the junks in the harbor, some proudly claiming never to have set foot on land (except for funerals, which don't count). || the boat people of aberdeen are known for being big exaggerators.
entailment || entailment || just 90 minutes by train from the city, this area makes a very pleasant daytrip. || one can make a daytrip to this area.
neutral || neutral || the world windsurfing championships have been held here in august for the last several years. || next year the world windsurfing championships will move, so this year is important to see.
contradiction || entailment || the historic area of nara is on the east side of the modern town, at the end of sanjo-dori. || nara is located on the east side of town through sanjo-dori.
contradiction || contradiction || others say james ascends from pulp fiction to high art, with well-drawn characters and turns of phrase of which jane austen might have been proud (gerald kaufman, the daily telegraph ). (an excerpt is available at random house's site.) || kaufman hated the book.
entailment || neutral || went and took the car because i told him there's a place in arlington that's gonna give it to me for that price he said no they're not and the next day they || the place in arlington ended up giving me a better price.
entailment || neutral || oh yeah yeah i was in there trying to do some studying this afternoon and laying down on the sofa and she gets up on my chest where i can't see the book and then if i am in here on the computer she has to get up on the desk || she will get in your way while you try to eat or move around the house.
neutral || neutral || dear mr. carter, something's turned up that has given me a jar. || something has upset me about what i just saw.
neutral || entailment || the landmarks are the air force headquarters (a modern copy of el escorial) and madrid's youngest triumphal arch, which commemorates the franco victory of 1939. || the landmarks commemorate the franco victory of 1939.
contradiction || contradiction || good well as a matter of fact i'm before we started this conversation i was working on my pc at home || i do not have a pc in my home.
neutral || entailment || tragically, you had no choice but to support him once the commitment was made, but of course making it was irresponsible folly. || you needed to support him once you made the commitment.
contradiction || entailment || the kiosk of emperor trajan, a beautiful building with ornate floral capitals supported by elegant corinthian columns, makes a striking contrast to the egyptian temple designs. || the kiosk of emperor trajan is decorated with floral capitals and corinthian columns.
entailment || neutral || snow sports || there is skiing and snowboarding in the winter.
neutral || neutral || representative and quasi-representative designs for research on teaching. || representative designs change for research on teaching. 
entailment || contradiction || however, unenforcement of the h-2a wage rate and hiring preference implicitly allows the payment of a lower wage which has the effect of driving all wages for the area downward. || average wages in an area will rise when a lower wage job is created.
entailment || neutral || the glories of verona extend from its grand roman arena to the palaces of the medieval and renaissance families whose intrigues and love stories inspired shakespeare. || artists and designers of verona inspired shakespeare.
entailment || contradiction || his voice had risen and red had to pull at him. || his quieted as he pushed red.
contradiction || contradiction || yeah that's a fact i like john elway i think he was a fabulous he he still is he's got a he's got a lot of years left in him || i think that john elway is completely over-rated.
contradiction || neutral || the influx of foreigners has added to pressures on the himalayan environment, but it hasn't spoiled the friendliness of nepalis, surely among the most welcoming people on earth. || the nepalis were not always so friendly to the foreigners who pressured the himalayan environment. 
neutral || entailment || the british health authorities, in their 1995 guidelines (sensible drinking), say that people who drink very little or not at all and are in an age group at high risk for heart disease should consider the possibility that light drinking might benefit their health. || light drinking might be beneficial to the health of particular people. 
neutral || neutral || among the highlights are the desert garden, with a vast maze of mature cacti; the japanese garden, with its ponds, fish, and drum bridge; and the much-praised rose garden, showing the history of the roseover 2,000 years. || the japanese garden has a stone replica of godzilla hidden somewhere under the water.
neutral || entailment || in its september 2001 advisory on the draft analytical blueprint for the second section 812 prospective analysis, the sab cited the thurston and ito study as a significant advance in understanding the effects of ozone on daily mortality and recommended re-evaluation of the ozone mortality endpoint for inclusion in the next prospective study (epa-sab-council-adv-01-004, 2001). || the thurston and ito study helped understand the ozone.
entailment || neutral || yeah you're right you're right because mine goes from seventeen to nineteen yeah || my thermostat goes from 17 to 19.
neutral || neutral || on airplanes she helps herself to the little liquor bottles (she doesn't drink) and those plastic salt and pepper things. || she doesn't drink anymore but still enjoys collecting the tiny liquor bottles on her weekly flights.
neutral || entailment || what oh yeah it it still is your responsibility || you'll still be responsible.
neutral || neutral || sparkman is the executive director of a philadelphia nonprofit that places discarded church organs with poor schools' neglected music departments. || the schools were excited to receive the church organs.
contradiction || contradiction || such an approach invariably leads to added costs because programs are forced to fix problems late in development. || that's the safest approach possible in terms of avoiding unexpected costs.
neutral || entailment || yes, surely it must be so, unless ” ” a new idea suggested itself to my mind.  || the intriguing new idea came to poirot in the midst of explaining his current theory. 
neutral || neutral || that bald, fat 60 year old, miss aldonka replied spitefully and czarek turned invisibly red, because he couldn't show he was boiling on the inside. || miss aldonka was fat and bald and angry at the company.
contradiction || contradiction || not without  wiping out a whole generation of of kids in the school system and so || you can do that without any negative repercussions. 
neutral || neutral || as you drive along the winding road up to vernou, notice the trees with huge, strange roots. || at some points the roots extend to up to five feet above the ground.
contradiction || entailment || when you have your slow readers but it it wasn't too bad we we got along real well || we had slow readers available for this. 
entailment || neutral || every night of the week, this entire area is teeming with businessman frequenting night clubs, hostess bars, and private drinking clubs. || the area is a great place to socialize.
neutral || neutral || every time you drink scotch you're paying kennedys || the kennedys must be rich because so much scotch is drank.
contradiction || contradiction || 'up!' i yelled, wind stealing away half of my volume. || my voice was incredibly loud.
