Test Accuracy : 0.6626
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
contradiction || neutral || male in a blue jacket decides to lay in the grass. || the guy wearing a blue jacket is laying on the green grass taking a nap.
neutral || neutral || during calf roping a cowboy calls off his horse. || a first time roper falls off his horse.
entailment || contradiction || during calf roping a cowboy calls off his horse. || a man ropes a calf successfully.
entailment || entailment || a little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. || a boy is on a playground.
neutral || neutral || a little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. || the boy is playing on the swings after school.
contradiction || contradiction || a little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. || the boy is sitting on the school bus on his way home.
neutral || neutral || a woman wearing a ball cap squats down to touch the cracked earth. || an archeologist wearing a hat squats to examine the site for a dig
entailment || entailment || a woman wearing a ball cap squats down to touch the cracked earth. || a squatting woman wearing a hat touching the ground.
neutral || contradiction || a woman wearing a ball cap squats down to touch the cracked earth. || a woman wearing a sun bonnet planting a garden.
entailment || neutral || two children re laying on a rug with some wooden bricks laid out in a square between them. || two children are building a brick furnace.
neutral || contradiction || two children re laying on a rug with some wooden bricks laid out in a square between them. || two children are playing catch at a park.
entailment || entailment || two children re laying on a rug with some wooden bricks laid out in a square between them. || two children are on a rug.
entailment || entailment || a man standing in front of a building on the phone as two men to the side pain on the side. || a guy near a building stands by two other men
contradiction || contradiction || a man standing in front of a building on the phone as two men to the side pain on the side. || two girls walk through a hall
entailment || neutral || a man standing in front of a building on the phone as two men to the side pain on the side. || a busy man stands with bodyguards
entailment || entailment || the two young girls are dressed as fairies, and are playing in the leaves outdoors. || girls are playing outdoors.
contradiction || contradiction || the two young girls are dressed as fairies, and are playing in the leaves outdoors. || two girls play dress up indoors.
neutral || neutral || the two young girls are dressed as fairies, and are playing in the leaves outdoors. || the two girls play in the autumn.
neutral || neutral || people jump over a mountain crevasse on a rope. || some people look visually afraid to jump.
entailment || entailment || people jump over a mountain crevasse on a rope. || people are jumping outside.
contradiction || contradiction || people jump over a mountain crevasse on a rope. || people slide over a mountain crevasse on a slide.
entailment || entailment || a snowboarder on a wide plain of snow || a snow field with a snowboarder on it
contradiction || neutral || a snowboarder on a wide plain of snow || a snowboarder gliding over a field of snow
contradiction || neutral || a snowboarder on a wide plain of snow || a snowmobile in a blizzard
contradiction || contradiction || an older women tending to a garden. || the lady is cooking dinner
contradiction || neutral || an older women tending to a garden. || the lady is weeding her garden
entailment || entailment || an older women tending to a garden. || the lady has a garden
contradiction || contradiction || a man in a black shirt overlooking bike maintenance. || a man destroys a bike.
entailment || entailment || a man in a black shirt overlooking bike maintenance. || a man watches bike repairs.
contradiction || neutral || a man in a black shirt overlooking bike maintenance. || a man learns bike maintenance.
contradiction || contradiction || a man in a black shirt is looking at a bike in a workshop. || a man is wearing a red shirt
entailment || entailment || a man in a black shirt is looking at a bike in a workshop. || a man is in a black shirt
neutral || neutral || a man in a black shirt is looking at a bike in a workshop. || a man is deciding which bike to buy
contradiction || entailment || a man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. || a person is in a garage.
entailment || entailment || a man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. || a man repairs bicycles.
entailment || contradiction || a man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. || a man waits outside a garage.
entailment || contradiction || three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. || some people stand around.
entailment || contradiction || three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. || people run together.
entailment || entailment || three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. || people wait at a station.
entailment || entailment || a child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. || a child wearing a red top is standing behind a blond headed child
contradiction || contradiction || a child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. || a child wearing a red top is standing on top of a blond headed child
neutral || neutral || a child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. || a child wearing a red top is standing behind a pretty blond headed child
contradiction || contradiction || a person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. || a lady sitting on a bench in the park.
contradiction || neutral || a person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. || an old lady pushing a stroller down a busy street.
entailment || entailment || a person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. || a person outside pushing a stroller.
neutral || neutral || a dog jumping for a frisbee in the snow. || a pet is enjoying a game of fetch with his owner.
contradiction || contradiction || a dog jumping for a frisbee in the snow. || a cat washes his face and whiskers with his front paw.
entailment || entailment || a dog jumping for a frisbee in the snow. || an animal is outside in the cold weather, playing with a plastic toy.
neutral || neutral || people are conversing at a dining table under a canopy. || people at a party are seated for dinner on the lawn.
entailment || entailment || people are conversing at a dining table under a canopy. || people are talking underneath a covering.
contradiction || contradiction || people are conversing at a dining table under a canopy. || people are screaming at a boxing match.
neutral || contradiction || a girl playing a violin along with a group of people || a girl is washing a load of laundry.
entailment || entailment || a girl playing a violin along with a group of people || a girl is playing an instrument.
contradiction || neutral || a girl playing a violin along with a group of people || a group of people are playing in a symphony.
neutral || neutral || a woman within an orchestra is playing a violin. || a woman is playing a concert.
contradiction || entailment || a woman within an orchestra is playing a violin. || a woman is playing the violin.
entailment || contradiction || a woman within an orchestra is playing a violin. || a man is looking in a telescope.
neutral || neutral || three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. || three men going to work
entailment || entailment || three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. || three men look at the camera
contradiction || contradiction || three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. || three men sleeping in a tent
entailment || entailment || a ford car is making a right turn as 3 males are walking across the street behind the car. || a car making a right turn had three pedestrians cross behind it.
entailment || neutral || a ford car is making a right turn as 3 males are walking across the street behind the car. || a sedan was turning a corner as walkers were crossing.
entailment || entailment || three boys in white shirts are walking behind an older model ford car. || there are three boys
entailment || contradiction || three boys in white shirts are walking behind an older model ford car. || there are three girls
entailment || entailment || three boys in white shirts are walking behind an older model ford car. || the boys are on the street
entailment || entailment || three girls blow out the candles of a cake made of peeps. || some people are blowing out candles
entailment || entailment || three girls blow out the candles of a cake made of peeps. || there are three girls and a cake
entailment || contradiction || three girls blow out the candles of a cake made of peeps. || there are peeps in the garden.
neutral || neutral || a crowd of people looking up at 3 people on the edge of the roof of a building. || the crowd is calling for help for the people on the roof.
contradiction || entailment || a crowd of people looking up at 3 people on the edge of the roof of a building. || the crowd on the ground is watching 3 people on the roof's edge.
contradiction || contradiction || a crowd of people looking up at 3 people on the edge of the roof of a building. || three people are climbing down the ladder on the building.
contradiction || neutral || a woman working long hours. || a woman is working in a factory.
entailment || entailment || a woman working long hours. || a woman is working.
contradiction || contradiction || a woman working long hours. || a woman is sleeping.
contradiction || contradiction || two teenage girls conversing next to lockers. || girls talking next to the toilet.
entailment || entailment || two teenage girls conversing next to lockers. || people talking next to lockers.
neutral || neutral || two teenage girls conversing next to lockers. || girls talking about their problems next to lockers.
neutral || neutral || an old woman watches a man look down at some balls on the ground. || an elderly female is stalking a male.
contradiction || contradiction || an old woman watches a man look down at some balls on the ground. || two people are sleeping on the train.
neutral || neutral || two children, both wearing tan coats, are embracing one another. || two kids are hugging after surviving a horrible car wreck.
entailment || entailment || two children, both wearing tan coats, are embracing one another. || two kids are hugging.
contradiction || contradiction || two children, both wearing tan coats, are embracing one another. || two kids are running down a highway.
neutral || neutral || 2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. || a couple of child relatives were hugging because they were happy to see each other.
entailment || entailment || 2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. || two kids were hugging.
entailment || contradiction || 2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. || two youths were pushing each other.
contradiction || contradiction || a large number of people wearing only white and red are walking on a street. || a large number of people wearing black walking down the street.
contradiction || neutral || a large number of people wearing only white and red are walking on a street. || a large number of men walking down the street in red and white.
entailment || entailment || a large number of people wearing only white and red are walking on a street. || a large number of people walking on a street.
neutral || neutral || a guy riding a motorcycle near junk cars || the man is test driving a motorcycle to decide whether or not he will buy it.
entailment || entailment || a guy riding a motorcycle near junk cars || a man is riding a motorcycle.
neutral || contradiction || a guy riding a motorcycle near junk cars || a man is sitting on a parked motorcycle waiting for his friend.
entailment || entailment || women of india performing with blue streamers, in beautiful blue costumes. || indian women perform together in gorgeous costumes
entailment || contradiction || women of india performing with blue streamers, in beautiful blue costumes. || dogs sniff the air
neutral || neutral || women of india performing with blue streamers, in beautiful blue costumes. || indian women are performing a religious ritual together
entailment || entailment || a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. || a person is swimming.
contradiction || contradiction || a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. || the swimmer is eating a toasted marshmallow.
neutral || neutral || a professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. || the swimmer almost drowned after being sucked under a fast current.
entailment || neutral || the man in the black wetsuit is walking out of the water. || a man in a wetsuit walks out of the water carrying a surfboard.
entailment || entailment || the man in the black wetsuit is walking out of the water. || a person is walking out of water.
contradiction || contradiction || the man in the black wetsuit is walking out of the water. || a man is laying on the beach.
neutral || neutral || five girls and two guys are crossing a overpass. || the extended family hike together on their family reunion.
neutral || contradiction || five girls and two guys are crossing a overpass. || the three men sit and talk about their lives.
entailment || entailment || five girls and two guys are crossing a overpass. || there are people outside.
neutral || neutral || a person with a purple shirt is painting an image of a woman on a white wall. || a woman paints a portrait of her best friend.
entailment || neutral || a person with a purple shirt is painting an image of a woman on a white wall. || a woman paints a portrait of a person.
contradiction || contradiction || a person with a purple shirt is painting an image of a woman on a white wall. || a woman paints a portrait of a monkey.
entailment || entailment || a woman is painting a mural of a woman's face. || there is a woman painting.
neutral || neutral || a woman is painting a mural of a woman's face. || there is a woman painting for fun.
contradiction || contradiction || a woman is painting a mural of a woman's face. || there is a man tying his shoes.
entailment || contradiction || a couple is eating outside at a table and he is pointing at something. || a couple is eating inside at a table and he is pointing at something.
entailment || neutral || a couple is eating outside at a table and he is pointing at something. || the man is pointing at a purse snatcher.
entailment || entailment || a couple is eating outside at a table and he is pointing at something. || people are eating at a table outside.
neutral || neutral || two women walk down a sidewalk along a busy street in a downtown area. || the women were walking downtown because the buses were on strike
contradiction || contradiction || two women walk down a sidewalk along a busy street in a downtown area. || the women were picking berries in the countryside
neutral || entailment || two women walk down a sidewalk along a busy street in a downtown area. || the women were walking downtown
neutral || neutral || many people standing outside of a place talking to each other in front of a building that has a sign that says "hi-pointe." || the people are having a chat before going into the work building.
contradiction || entailment || many people standing outside of a place talking to each other in front of a building that has a sign that says "hi-pointe." || the group of people aren't inide of the building.
contradiction || contradiction || many people standing outside of a place talking to each other in front of a building that has a sign that says "hi-pointe." || the people are sitting in the hotel lobby.
entailment || neutral || the flight attendant dressed in yellow demonstrates life vest usage. || a flight attendant is standing in front of passengers.
neutral || neutral || the flight attendant dressed in yellow demonstrates life vest usage. || a flight attendant is demonstrating safety procedures before takeoff.
contradiction || contradiction || the flight attendant dressed in yellow demonstrates life vest usage. || a woman is preparing drinks on an airplane.
entailment || entailment || the girls walk down the street. || girls walk down the street.
contradiction || contradiction || the girls walk down the street. || girls set down in the street.
neutral || neutral || the girls walk down the street. || girls were going to the park.
contradiction || contradiction || a man wearing a red uniform and helmet stands on his motorbike. || a man sitting in a car.
entailment || entailment || a man wearing a red uniform and helmet stands on his motorbike. || a person standing.
entailment || entailment || a man wearing a red uniform and helmet stands on his motorbike. || a man standing on his motorbike.
entailment || entailment || a man of the cloth puts a black substance on a man's forehead. || the man puts something on the other mans head.
neutral || contradiction || a man of the cloth puts a black substance on a man's forehead. || the women are at the park.
contradiction || neutral || a man of the cloth puts a black substance on a man's forehead. || the men are at church.
entailment || entailment || a person rolls down a hill riding a wagon as another watches. || two people are outside.
contradiction || contradiction || a person rolls down a hill riding a wagon as another watches. || a person stares at an empty hill.
contradiction || neutral || a person rolls down a hill riding a wagon as another watches. || a child in a wagon rolls down a hill.
neutral || neutral || a boy holding onto the wall of an old brick house's raised foundation. || a boy holding onto the wall of an old brick house's raised foundation as construction occurs
entailment || contradiction || a boy holding onto the wall of an old brick house's raised foundation. || a girl is leaning against the wall
neutral || entailment || a boy holding onto the wall of an old brick house's raised foundation. || a boy is against the wall of a raised foundation
neutral || neutral || bruce springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall. || bruce springsteen is from florida.
entailment || entailment || bruce springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall. || bruce springsteen is a singer.
neutral || neutral || bruce springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall. || bruce springsteen is gay
neutral || neutral || six dogs swimming in a river. || six dogs swim across the river.
entailment || entailment || six dogs swimming in a river. || six dogs are outdoors.
contradiction || contradiction || six dogs swimming in a river. || the puppies are setting on the couch.
neutral || contradiction || a man and woman are taking a picture of themselves while a woman in a scarf walks by them. || a man and woman have mug shots taken because they have been arrested.
neutral || neutral || a man and woman are taking a picture of themselves while a woman in a scarf walks by them. || a man and woman take selfies while a woman walks by and judges them.
neutral || entailment || a man and woman are taking a picture of themselves while a woman in a scarf walks by them. || a man and woman take selfies of themselves.
entailment || entailment || a group of people dancing together. || people are dancing.
neutral || neutral || a group of people dancing together. || they are doing the tango.
contradiction || contradiction || a group of people dancing together. || no one is dancing.
contradiction || entailment || men wearing blue uniforms sit on a bus. || men sit on the bus.
neutral || neutral || men wearing blue uniforms sit on a bus. || men sit on the bus going to work,
contradiction || contradiction || men wearing blue uniforms sit on a bus. || men drive the bus into the ocean.
entailment || entailment || two men climbing on a wooden scaffold. || two people climbing on a wooden scaffold.
neutral || contradiction || two men climbing on a wooden scaffold. || two women climbing on a wooden scaffold.
neutral || neutral || two men climbing on a wooden scaffold. || two sad men climbing on a wooden scaffold.
contradiction || contradiction || a bird is flapping its wings on the water. || the bird is flying over the trees.
contradiction || neutral || a bird is flapping its wings on the water. || the duck is swimming in the lake.
neutral || entailment || a young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air. || a young boy is playing in a feild.
neutral || neutral || a young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air. || a young boy is playing in the field because his mother kicked him out of the house.
contradiction || contradiction || a young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air. || a young boy is playing video games indoors.
neutral || neutral || six or seven people are standing on a pier with a table and a pair of glasses in the foreground. || they are going fishing.
contradiction || entailment || six or seven people are standing on a pier with a table and a pair of glasses in the foreground. || six or seven people are standing on a pier.
neutral || contradiction || six or seven people are standing on a pier with a table and a pair of glasses in the foreground. || they are in a boat.
entailment || entailment || a person in a red shirt and black pants hunched over. || a person wears a red shirt.
entailment || neutral || a person in a red shirt and black pants hunched over. || the person is a woman.
entailment || contradiction || a person in a red shirt and black pants hunched over. || the person is wearing a green shirt.
neutral || contradiction || this child is on the library steps. || the child is on the school steps.
entailment || entailment || this child is on the library steps. || the child is on the steps.
contradiction || neutral || this child is on the library steps. || the child is on the steps inside the library.
contradiction || contradiction || the tattooed basketball player is about to dunk the ball. || the man is playing football..
contradiction || entailment || the tattooed basketball player is about to dunk the ball. || the person is playing basketball.
neutral || neutral || the tattooed basketball player is about to dunk the ball. || the player has a tattoo that says mother.
neutral || entailment || a boy in a red hooded top is smiling whilst looking away from his reflection. || a boy in a red hood is happy.
neutral || neutral || a boy in a red hooded top is smiling whilst looking away from his reflection. || the boy doesn't want to see his reflection.
entailment || contradiction || a boy in a red hooded top is smiling whilst looking away from his reflection. || the boy is upset.
entailment || entailment || a man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt. || the man is wearing a gray cap.
neutral || contradiction || a man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt. || the man is wearing a blue cap.
neutral || neutral || a man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt. || the man is cold.
neutral || neutral || an old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow. || an old woman has a light jean jacket.
entailment || entailment || an old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow. || an old woman has a jean jacket.
contradiction || contradiction || an old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow. || an old woman has no jacket.
neutral || entailment || a newlywed couple laughing and talking amongst themselves. || the couple is having fun.
neutral || entailment || a newlywed couple laughing and talking amongst themselves. || the couple just got married.
contradiction || contradiction || a newlywed couple laughing and talking amongst themselves. || the couple is divorced.
contradiction || contradiction || a black man in a long sleeves white collared shirt and a tie is walking to work in a big city. || the man is wearing shorts and a t-shirt as he jogs.
entailment || entailment || a black man in a long sleeves white collared shirt and a tie is walking to work in a big city. || the man is moving.
neutral || entailment || a black man in a long sleeves white collared shirt and a tie is walking to work in a big city. || the man is wearing work attire and is walking to his job.
entailment || neutral || several younger people sitting in front of a statue. || several young people sitting outside
contradiction || contradiction || several younger people sitting in front of a statue. || several young people are sitting in an auditorium
contradiction || neutral || several younger people sitting in front of a statue. || several young people sitting in a school courtyard
neutral || neutral || a group of adults stands in the bathroom looking down a small child in the bath. || the childs mom is watching her son with her friends.
neutral || entailment || a group of adults stands in the bathroom looking down a small child in the bath. || people are in the house.
contradiction || contradiction || a group of adults stands in the bathroom looking down a small child in the bath. || the child is sleeping.
entailment || entailment || a goofy looking woman is singing on stage. || a woman is singing.
contradiction || contradiction || a goofy looking woman is singing on stage. || a woman is reciting poetry on the stage.
contradiction || neutral || a goofy looking woman is singing on stage. || a blonde woman is singing and dancing on the stage.
contradiction || contradiction || the girl wearing a brown jacket whilst walking in snow. || a woman is eating pasta in a restaurant.
neutral || neutral || the girl wearing a brown jacket whilst walking in snow. || the lady wearing a jacket is looking for her lost dog.
entailment || entailment || the girl wearing a brown jacket whilst walking in snow. || the girl is walking outside.
neutral || entailment || a man, woman, and child get their picture taken in front of the mountains. || a family on vacation is posing.
entailment || entailment || a man, woman, and child get their picture taken in front of the mountains. || people are outdoors.
contradiction || contradiction || a man, woman, and child get their picture taken in front of the mountains. || a family is in their car.
entailment || entailment || people are standing near water with a boat heading their direction || the people are standing.
neutral || neutral || people are standing near water with a boat heading their direction || people are standing near water with a large blue boat heading their direction.
contradiction || contradiction || people are standing near water with a boat heading their direction || people are waiting in line at the restaurant.
entailment || neutral || four adults eat while sitting on a tile floor. || two couples eat food on a kitchen floor.
neutral || contradiction || four adults eat while sitting on a tile floor. || two couples play pool in a bar.
entailment || entailment || four adults eat while sitting on a tile floor. || a group of people eat food.
contradiction || contradiction || a dog standing near snow looking at water. || a cat is laying on the couch.
entailment || entailment || a dog standing near snow looking at water. || animal is outdoors.
neutral || neutral || a dog standing near snow looking at water. || the dog is thinking about going to for a swim.
neutral || neutral || an older man leans against a pedestal outside of an ornate building. || an older man is leaning outside his nursing home
contradiction || contradiction || an older man leans against a pedestal outside of an ornate building. || a young man is jogging
entailment || entailment || an older man leans against a pedestal outside of an ornate building. || an older man leans outside a building
contradiction || contradiction || a person in orange clothing rests above a metro entrance. || a person is sitting at a baseball game.
entailment || entailment || a person in orange clothing rests above a metro entrance. || someone is standing near a metro station.
neutral || neutral || a person in orange clothing rests above a metro entrance. || a person is waiting for a train.
neutral || neutral || a girl in a blue dress takes off her shoes and eats blue cotton candy. || the girl is eating blue cotton candy at a carnival.
neutral || neutral || a girl in a blue dress takes off her shoes and eats blue cotton candy. || the girl in a blue dress is a flower girl at a wedding.
entailment || entailment || a girl in a blue dress takes off her shoes and eats blue cotton candy. || the girl is eating while barefoot.
entailment || contradiction || a black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement. || the man is asian
entailment || entailment || a black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement. || the man is playing
contradiction || contradiction || a black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement. || the man is at home sleeping
neutral || contradiction || a basketball player with green shoes is dunking the ball in the net while the arena crowd looks on. || a man is making a sandwich while a crowd gasps in awe.
entailment || entailment || a basketball player with green shoes is dunking the ball in the net while the arena crowd looks on. || a crowd is watching someone play basketball.
neutral || neutral || a basketball player with green shoes is dunking the ball in the net while the arena crowd looks on. || a famous nba player is playing street ball in front of a crowd.
entailment || entailment || a frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons. || a group of people are standing outside.
neutral || neutral || a frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons. || an angry military veteran watches as people protest the war.
contradiction || contradiction || a frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons. || a man is watching a group of people having a hot dog eating contest.
entailment || entailment || a woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag. || a woman on a bike.
neutral || neutral || a woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag. || a woman riding a bike to work.
contradiction || contradiction || a woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag. || a woman driving a car.
entailment || entailment || a skateboarding youth does a trick on a rail. || a young person on a skateboard.
contradiction || contradiction || a skateboarding youth does a trick on a rail. || a man painting a tree.
neutral || neutral || a skateboarding youth does a trick on a rail. || a young boy showing his new skateboard tricks to his friends.
neutral || neutral || a guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him. || he is wearing a button-up shirt.
contradiction || contradiction || a guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him. || his bald head is exposed.
entailment || entailment || a guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him. || a man is crouching on a handrail.
neutral || neutral || girl in a red coat, blue head wrap and jeans is making a snow angel. || a girl in a red coat makes a snow angel for the first time.
contradiction || contradiction || girl in a red coat, blue head wrap and jeans is making a snow angel. || girl in a black coat stays indoors away from the snow.
entailment || entailment || girl in a red coat, blue head wrap and jeans is making a snow angel. || a girl outside plays in the snow.
contradiction || contradiction || a group of people gathered at night watching an event. || the group of friends are asleep.
entailment || neutral || a group of people gathered at night watching an event. || a group of humans are looking at the same direction.
neutral || neutral || a group of people gathered at night watching an event. || a group of friends are watching the music concert at night.
entailment || entailment || the american footballer in yellow catches the ball whilst under pressure from the payer in white. || the football player is under duress.
neutral || entailment || the american footballer in yellow catches the ball whilst under pressure from the payer in white. || the american football player in yellow catches the ball while under pressure from the player in white.
contradiction || contradiction || the american footballer in yellow catches the ball whilst under pressure from the payer in white. || the basketball player shoots a three pointer.
neutral || neutral || a person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd. || a person is enjoying a sporting event.
contradiction || contradiction || a person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd. || a person is dancing and singing.
entailment || entailment || a person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd. || a person is standing outdoors.
contradiction || contradiction || a girl holding a beverage points at a painting. || the girl is in the bathtub
neutral || neutral || a girl holding a beverage points at a painting. || the girl is drinking an alcoholic beverage.
entailment || entailment || a girl holding a beverage points at a painting. || the girl has a beverage.
neutral || neutral || a man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag. || a man in a black shirt, in a commercial kitchen, holding up the old meat he took out of a bag.
neutral || contradiction || a man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag. || a woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.
neutral || entailment || a man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag. || a man in a shirt, in a commercial kitchen, holding up meat he took out of a bag.
neutral || contradiction || a person in a red shirt is mowing the grass with a green riding mower. || a person in red is swimming in the olympics.
