Test Accuracy : 0.5867
-----------------------------------------------------------
Predicted_Labels || Actual_Labels || Sentence1 || Sentence1
neutral || neutral || The resulting increase in domestic capital would enhance worker's productivity and wages, but the payments to foreign lenders flow abroad. || Domestic capital would increase worker's productivity, and cut down one wages lost to workers using the break room for too long. 
neutral || contradiction || Some critics fault the younger designers for not taking risks, preferring the continuing inventiveness of such veterans as Karl Lagerfeld, Valentino, and Jean-Paul Gaultier. || Young fashion designers take many more risks than necessary.
neutral || neutral || HMOs will cut back treatments to the elderly. || HMO's may have adverse and negative effects that cause a concern which then people cut back treatments as a way to prevent people getting hurt. 
neutral || neutral || yeah well yeah i guess i'm going to quit as soon as school the school season's over but uh i really enjoyed being with her up there i hate it for her she has to stay that much longer but um || I really wish I could see her even after schools are over.
entailment || neutral || Sample  After admitting that her hubby's strategizing may have kept Clinton from being ridden out of D.C. on a rail, Matalin predicts that Someday, in the history book, you [Carville] will look back and rue the day that you helped wage this war the way you have. || Her hubby's strategizing would have caused an uproar in both parties.
entailment || neutral || Deir Abu Maker is the most important, having provided several leaders for the Coptic church; nearby is Deir Anba-Baramos. || The majority of Coptic church leaders have come from the Deir Abu Maker.
contradiction || contradiction || How much do you know? he shot out. || He did not know that they had any knowledge of it.
neutral || contradiction || The health of one of the bravest of America's daughters, to whom is due the thanks and gratitude of two great countries!" 232 Chapter 28 And After "THAT was a mighty good toast, Jane," said Mr. Hersheimmer, as he and his cousin were being driven back in the Rolls-Royce to the Ritz. || Mr. Hersheimmer and his cousin were being driven to the coast.
neutral || neutral || i don't know i just remember Sting was in it || I don't know, I remember Sting was the main character in it.
contradiction || contradiction || But he did disprove, for an unimportant but magnificent moment, W. H. Auden's dictum that poetry makes nothing happen. || His attempt to contradict W.H. Auden ended in failure.
entailment || entailment || I'm flat on my back, and there's a life flashing before my eyes. || I am on my back.
entailment || neutral || You will understand me when I say that it was a deadly life for a girl brought up as I had been.  || I was a thief who lived on the edge, stealing from the rich.
entailment || entailment || I know what you mean. || I understand you.
entailment || entailment || Between 1959 and 1962 approximately 200,000 Cubans, primarily professionals and affluent landowners, fled the country. || Many of the affluent population fled the country after 1959. 
contradiction || contradiction || yeah i don't think that some people i don't think have uh a year in them to volunteer if you know what i mean they're not worth it || Everyone volunteers, there's no reason not to. 
entailment || contradiction || It was begun around 355 b.c. at the behest of the king (the word mausoleum is derived from his name) and remained standing until at least the 12th century. || It began around 700 b.c. at the behest of the Queen.
neutral || neutral || I have a treat for you today, said Jon. || The treat you will get is a chocolate cake.
neutral || contradiction || For each copy sold, I get $1. || Each copy brings me $100.
entailment || entailment || you know but i'm sure there's something can be done || I think there's something that can be done about it.
contradiction || contradiction || Jonathan Bulkeley, CEO of barnesandnoble.com, resigned in order to, yes, spend more time with his family . In response, the stock dropped 63 cents . Must be comforting to know that's how much difference investors thought his departure would make. || Jonathan Bulkeley is still the CEO of Barnes and Nobles.
neutral || neutral || However, even these revisionists agree that the Jews had not intended to evict Muslims from Palestine. || Some revisionists, while agreeing that the Jewish people had not intended to evict the Muslim population from Palestine, also agree that they did so willingly even though it was not the original intention.
contradiction || contradiction || But should it? || It cannot.
contradiction || entailment || Egypt became a backwater, even more so as the Ottoman Empire went into chronic terminal decline in the 18th century, with a series of crises that local mamelukes were unable to control. || The Ottoman Empire was a disaster.
entailment || entailment || right right or at least loans  that they pay off || At a minimum, the loans that they pay off.
contradiction || contradiction || Now he was disturbed that Shannon could prick him so. || He loved that Shannon didn't bother him.
entailment || neutral || May not be so severe. || It either will be really severe, or it won't.
entailment || neutral || It heralded the first great phase of development in science and architecture; hieroglyphs were developed and the first great building phase took place. || In addition to the emergence of hieroglyphs and the first great building phase, the acquisition of power by the first dynastic rulers marks the first great phase of development in science and architecture.  
entailment || contradiction || the um-hum well i lived in New York for a long time so Texas is Texas weather is quite uh different for me || New York and Texas generally have the same weather.
entailment || neutral || OTHER POSTEMPLOYMENT BENEFITS (OPEB) - Forms of benefits provided to former or inactive employees, their beneficiaries, and covered dependents outside pension or ORB plans. || There are benefits supplied to most former employees.
neutral || neutral || From before the 1983 amendment until 1986, the categories of eligible aliens  (1) an alien lawfully admitted for permanent residence; (2) an alien who was either married to a United States citizen or was a parent or an unmarried child under the age of twenty-one years of such a citizen and who had filed an application for adjustment of status under the INA; (3) an alien who was lawfully present in the United States as a refugee or who had been granted asylum by the Attorney General; (4) an alien who was lawfully present in the United States as a result of the Attorney General's withholding of deportation; and (5) an alien lawfully present in the United States as a result of being granted conditional entry. || The amendment was fair to the aliens.
entailment || neutral || i always do that i got to do something like that with the weather || I do things with the weather, like measure the humidity.
contradiction || contradiction || Another example is the mandates issue. || The mandates issue is not an example.
entailment || entailment || From here and the burgeoning area between Les Halles and place des Victoires, haute couture houses and ready-to-wear (prat-a-porter) boutiques have spread to the Left Bank around St-Germain-des-Pres. || The boutiques have spread to the Left Bank around St-Germain-des-Pres.
entailment || entailment || Now the lark was somewhat tense and you could feel it in the air. || The mood of the lark had become rather tense.
entailment || entailment || It suggests that the number of deaths in non-elderly populations (and thus the potential for greater loss of life years) may be significant. || It suggests that the amount of deaths in younger populations may be significant.
neutral || entailment || Until recently, millions of green-card holders were content to live in the United States as resident aliens. || It was not til lately but they were happy to live in the country.
neutral || contradiction || NRCS submitted that analysis to the General Accounting Office on May 29, 1997, along with a copy of its final rule. || NRCS has kept the analysis a top secret.
neutral || neutral || To ensure the right level of knowledge at each key decision point in product development, leading commercial companies separate technology from product development and take steps to ensure the product design is stabilized early so product performance and producibility can be demonstrated before production. || Product design is always best stabilized early.
neutral || neutral || either Lee or Chang or Wong. || It was Lee who killed the tiger.
contradiction || contradiction || and uh you know she just brought the cat in because he wasn't feeling good   so that that was a kind of a surprise  at least at || The cat is always in superb health.
contradiction || contradiction || Leave it to me. She bent down. || Don't count on me, she stood up.
neutral || contradiction || Boycott the Web || Just keep going on the internet like you have been.
neutral || contradiction || Today, a tour of the capital takes you through a mixture of imposing ministries and embassies, modern office buildings and hotels, and along the Old Delhi of vibrant Hindu and Muslim communities crowding in on the Mughal monuments. || Today's tour is a great opportunity to experience the countryside and wilderness.
entailment || contradiction || France is blessed with an astonishing variety of  long, high dunes on the Atlantic Coast; craggy coves in Brittany; vineyards in Burgundy; steep gorges in the Tarn; olive trees and vineyards, umbrella pines and cypresses in Provence; and lazy beaches in the Cete d'Azur. || France is lucky to have steep gorges in Burgundy.
contradiction || contradiction || However, the real question is whether under the current tax code, all other things being equal, you are better off living together unmarried than tying the knot. || The answer is known.
entailment || contradiction || Although powerful technical controls, such as those involving encryption, are becoming increasingly available to facilitate information security, effective implementation requires that these techniques be thoughtfully selected and that their use be monitored and managed on an ongoing basis. || Encryption is an example of a technical control that is exceedingly rare in information security.
entailment || entailment || From our work, we identified a number of practices common to successful efforts to become more results-oriented. || There is a correlation between certain practices and successful efforts.
neutral || contradiction || we went to the play-offs || We ventured to the center of the earth.
neutral || neutral || It was people who advocate democracy who had black people lynched from one end of this country to another. || These people are having trouble adapting to a different time with a different political atmosphere.
entailment || entailment || He had passed the first test. || He did well on the test.
contradiction || contradiction || Just to the east of town is a small scruffy bay that comes to life at night. || To the east is an expansive bay with no nightlife at all.
neutral || entailment || ) Thompson used to be a fabulous reporter. || Thompson was a great reporter.
entailment || entailment || What we have learned from the research to date gives us some direction as to how to implement interventions in emergency settings to reduce drinking and alcohol related risks. || The research has shown how we can lower risks from drunk emergency room patients.
entailment || entailment || This interest rate is both paid on outstanding debt held by the public and earned on nonfederal financial assets acquired by the government once debt held by the public is eliminated. || The interest rate is paid and earned.
neutral || contradiction || Unlike White he didn't seem badly hurt, just very unconscious. || His injuries seemed more serious than White's. 
contradiction || entailment || Almost half of Madeira's 270,000 people live in Funchal (pronounced  foon-shawl ), and cruise-ship passengers stride ashore daily for a frenzied flurry of sightseeing and shopping. || The population of Madeira is only 270,000.
neutral || neutral || well i the biggest uh way it's going right now uh lot most of the grocery stores || The grocery stores are bigger.
neutral || neutral || with with uh the movie stars and and the singers and everything || I really enjoyed it with the singers included.
entailment || entailment || it is nice he matter of fact he was here today it was the first really warm weather we've had and he came out and cut the yard and trimmed the hedges and all that || He came today and mowed the lawn and trimmed the hedges.
entailment || contradiction ||   The agency procurement request for a delegation of procurement authority from GSA, showing names and experience of senior project officials (as required by GSA guidance detailed in its FIRMR Bulletin C-5). || The agency procurement request shows names and experience of known suspects.
neutral || contradiction || performance objectives that senior executives work to achieve during the year. || Senior executives get to work towards whatever goals they feel like.
entailment || entailment || While it is the responsibility of the CIO to execute the specific responsibilities of his or her position, it became clear to us during our case studies that the successful CIO relies extensively on both vertical and horizontal relationships within the enterprise in order to carry out these responsibilities. || A CIO relies on relationships within the enterprise to follow through their responsibilities.
entailment || contradiction || To the contrary, Jacob, he declared. || That is true, Jacob.
entailment || contradiction || During the 19th century some criollos (particularly in Oriente, the island's poorer, eastern region) became increasingly disenchanted and desired greater autonomy. || During the 19th century some criollos were happy with the way the government was treating them. 
contradiction || contradiction || Situated in the middle of the Cartmel peninsula south of Lake Windermere, the village of Cartmel has been at the heart of some important events in English history. || Located on an island, Cartmel is a relatively unknown town.
contradiction || neutral || I don't suppose that everyone is like that. || I doubt everyone is a lying liar who lies. 
entailment || entailment || In other words, the Force. || Also known as the army.
neutral || entailment || But in assessing computer-processed data, the focus is on one test in the evidence standard-competence-which includes validity and reliability. || Computer processed data needs to be valid and reliable.
neutral || entailment || Because the program is just starting in Vacaville, only two attorneys are available during the two-hour sessions. || The program only has two attorneys so far.
contradiction || contradiction || They hover and buzz, like bluebottles. || Bluebottles are unable to hover.
entailment || entailment || Whenever Iraq claimed (quite rightly) that arms inspections were a violation of Iraqi sovereignty, we could and should have responded, Bugger your sovereignty--this is war. || The Iraqi complaints about the arms inspections should have been responded.
entailment || entailment || The villager with the sword shouted something. || They were yelling while holding a weapon.
contradiction || contradiction || Plantations and Slavery || Human Rights and farms.
contradiction || contradiction || But many of the clients served by the Women's Haven outreach programs are the working poor, who don't qualify for free legal services. || The Women's Haven outreach programs do not serve any people with jobs.
contradiction || entailment || It's not always an easy city to love, but few leave unimpressed. || The city leaves an impression on almost everyone.
entailment || contradiction || The admonition, You become what you behold, has yielded to You become what you belittle. || 'You become what you belittle' has changed to 'You become what you behold'.
contradiction || neutral || Lost her memory, eh? said Tommy with interest. || She doesn't remember anything or anybody from her past.
entailment || contradiction || One of the boys, the smallest, smiled at Susan. || Susan saw a frown on the boy's face.
neutral || neutral || Lady Tadminster's sister, you know.  || Everyone knew Lady Tadminster's sister.
entailment || entailment || Poirot followed me down the narrow stairs.  || I walked down the stairs with Poirot behind me. 
neutral || entailment || Still, the prostaglandin is an inadequate fix for almost half of its users. || Prostaglandin only works as a fix for more than half of its users.
entailment || neutral || oh yeah and see i was i was really thinking that they might have a let down because i i i was in a basketball pot and i picked uh Kansas for i guess more or less an upset but i i was thinking that uh Duke might have a let down after playing such a tough game with UNLV but uh i tell you what they uh they came back and put it to them it was a good game but i i i had thought all the way through that UNLV was going to be the team that would just walk away with it || Duke played a good game, and they won as a result.
entailment || entailment || There is a selection of English books, including many titles devoted to Turkish history, art, and architecture. || An assortment of English books are available - some about Turkish history.
contradiction || contradiction || But I think they would lose market share if they did not allow users to disable the system with a click of the mouse, which I take it, they do. || I don't think they allow users to disable the system, that's why they're failing.
contradiction || neutral || The merger was completed peacefully within a year of the federal order. || They were happy with the merger.
contradiction || contradiction || Against all this, Morris shows footage of Leuchter chiseling at Auschwitz and even adds some of his own, along with slow-motion shots of hammers bashing rocks, walls, floors, etc. || Morris never showed footage of Leauchter chiseling at Auschwitz.
contradiction || neutral || yeah we have a couple of those too we uh we haven't planted a garden yet we moved to moved here from Colorado not too long ago where we had a really big garden but here i i know i hear i hear that the uh growing is a little bit different have you had a garden || Growing things here is more difficult compared to Colorado.
contradiction || contradiction || I saw those who forged a nation from fire and blood and they birthed a beautiful dream. || The nation was never born.
neutral || entailment || Brown says she's leaving for the opportunity to transcend the print medium and to own what we create. || Brown is changing the way she publishes her creations.
entailment || neutral || Important also is that if the improved service is not feasible, the mailer could decide to use an alternative to the postal system. || A mailer usually uses the postal system.
contradiction || entailment || Two days later, on Fox News Sunday , Gigot still has no answer, asking, Is this a Republican or Democratic Congress? || Gigot reports on Fox News Sunday.
neutral || neutral || 'Stay behind a moment, would you? We need to talk.' || Try to stay behind a bit, I want to talk to you about something that I wouldn't want everyone else here to hear.
neutral || neutral || Italy has no more magnificent testimony of its Greek colonies than this complex of wonderfully preserved Doric temples, a 40-minute drive south from Salerno, dating back to the fifth and sixth centuries b.c. || These former colonies are still inhabited by an industrious population that see fit to keep their living places in great condition.
neutral || neutral || For Master P, neither is an appealing prospect. || Master P is very picky in regards to projects to pursue.
entailment || entailment || As the cross elasticities become larger, the efficient discount levels move closer to the ECP level and the associated welfare gains available become quite small. || Cross elasticities get larger. 
entailment || contradiction || A message, which could be deciphered by a forward (yes, forward, not backward) zero-one code: copy-paste. || A message was a love letter.
entailment || entailment || As Rajagriha, the capital of the Magadha kingdom, the town was frequented at different times by both Buddha and his contemporary Vardhamana Mahavira, the founder of the Jain religion. || Rajagriha was the capital of the Magadha kingdom.
contradiction || neutral || you're always paying for something you know || Nothing is free. 
entailment || entailment || The traditional leather sandals (flat soles with leather straps) are still sold in the streets of Rethymnon and Chania. || In Rethymnon and Chania, one can buy traditional leather sandals.
contradiction || contradiction || I have a treat for you today, said Jon. || You will get nothing from me today.
entailment || neutral || It continues through the turbulent eras of Scottish history for both church and state, and on to the industrial developments of modern times. || There are turbulant areas in Scottish history that involve alot of murder and unrest.
entailment || neutral || Drew had an impression of bright, almost gaudy uniforms. || Drew envisioned bright uniforms on the guards in his head.
entailment || entailment || The most visible Gallic touch in this bastion of the French colonial adventure in India is the scarlet k??pi worn by the white-uniformed traffic police waving you on as you drive into town. || Parts of India has been influenced by the Gallic culture.
neutral || neutral || Land speculators and locals alike were anxious to own a part of the newest railroad boomtown, and within an afternoon, more than 80 percent of the lots were sold. || The anxiety caused some to sweat profusely in anticipation.
entailment || neutral || Some magnetic influence that irresistibly impelled Mrs. Vandemeyer to commit suicide?" Tommy looked at him with respect. || There was a magnetic influence that caused Mrs. Vandemeyer to commit suicide.
entailment || contradiction || His hand went to his holster, and Drew's fist came down on the Texan's wrist, hard. || Drew stood idly aside as the Texan went for his holster.
contradiction || neutral ||  "That is not what I was about to say, Senor Rivas. || You assume things too quickly.
contradiction || contradiction || When his family fell on hard times, Degas blamed it on the Jews. || Degas' family has been very fortunate to never have experienced difficult times.
contradiction || contradiction ||  "Back at town, Rennie, at Doc's. || Renny, he ran away from the doctor.
neutral || entailment || This is in part because the island remained under Catholic Venetian rule far longer than other islands in the Aegean from 1207 to 1714 but also because it was t he scene of a blessed miracle, ensuring its fame throughout the Catholic community in Greece. || This island is famous with the Catholic community because a miracle took place here. 
entailment || contradiction || and obviously and obviously it's where they don't have a any post graduate program there but you get a an excellent wide uh basis of topics you know you get a good broad education out of it you don't they don't graduate the best engineers or the best English majors but || They don't have a wide selection of topics to choose.
contradiction || contradiction || Publishers regularly write bonuses into contracts to factor in the possibility that a book will makes the Times list. || There is no possibility of obtaining a bonus in the publishing industry.
neutral || contradiction || The other woman began to cry in fright. || The women cried because her mother died.
entailment || neutral || You can view it from the building opposite before going behind the temple to see the sacred bull, stained deep vermilion by the libations of its worshippers. || Worshipers pour red wine on the bull as an offering.
neutral || entailment || I decided to go for a walk- a harmless poke around town. || They wanted to walk around town.
neutral || neutral || Next to the church, an arched 16th-century gateway marks what was the entrance to ancient and medieval Rome along the Via Flaminia, leading from Rimini on the Adriatic coast. || The arched gateway is fifteen feet high and six feet wide.
entailment || contradiction || yeah i haven't had to replace the thing yet it looks like it would be uh better than having i've got an an Olds Tornado that i think's got six belts on the sucker And i had to get all those off you know when i was replace that uh water pump and uh || I didn't replace the water pump.
entailment || neutral || well we haven't really heard that much in the news lately about uh US involvement in Latin America since uh all this Middle East crisis began so i haven't really paid that much attention like since || I don't imagine the situation has gotten any better.
contradiction || entailment || What's the matter? I asked, sitting up in bed, and trying to collect my scattered thoughts.  || What's wrong? I asked. 
contradiction || contradiction || (And by we, I of course mean, me, George Orwell, and the gang up at Chiatt Day.) || By we, I mean myself, and a few friends that hate George Orwell.
entailment || entailment || By Gallant's own admission in the introduction, she composes with an eye to craft, not the deeper heart of a story. || Gallant wrote an introduction in which she admits to composing with an eye to craft. 
neutral || neutral || But his Web site can continue to pump out a Netcast with no interference. || Producing netcast is important to maintaining the system.
neutral || entailment || How those emotions are generated I cannot explain. || I can't explain how one would come to those emotions.
entailment || contradiction || The streets were alive with trade and travel. || The street was a ghost town.
neutral || entailment || The church has granite statues of Jesus and the Apostles adorning its porch. || the Disciples along the porch of the church has statues of Jesus.
contradiction || contradiction || (From mid-April to October, boats run daily from Alicante and Santa Pola, whence the sea voyage takes half as long. || From mid-April to October, boats do not run from Alicante and Santa Pola.
entailment || entailment || The cat itself, on a small panel above the entrance, is said to have been sculpted by Hidari Jingoro, a legendary master carver of the Tokugawa period. || In the Tokugawa period, there was a carver named Hidari Jingoro.
contradiction || entailment || (It is illegal to ship alcoholic beverages. ) || It is forbidden to send alcoholic drinks.
contradiction || contradiction || There are other differences as well. || No differences are known.
entailment || neutral || After some reflecting, I decided to take John into my confidence, and leave him to make the matter public or not, as he thought fit.  || I felt he ought to know what exactly I had discovered about the affair.
entailment || contradiction || Inland from both Gosier and Sainte-Anne is a peaceful region of green hills, or mornes, as they're known in the West Indies. || The region around Gosier is rather flat.
entailment || entailment || Bush : Seems like to me `Thou Shalt Not Kill' is pretty universal. || Bush thinks killing is wrong.
entailment || neutral || Officials in Boulder, Colo., have hired two ex-stars from the O.J. trial. || The stars were part of the chief testimony of the prosecution.
neutral || entailment || right i've also always thought about the idea you know most sports you know which are the N R A and people have their thing you know if you ban guns you're just banning the the recreation the sport of hunting things of that nature most of that's done with rifles and such uh though there's you know probably i'm sure some sector that does it with handguns but just by the mere fact of outlawing handguns would make it so that it would be not as conspicuous you couldn't be inconspicuous when you walked into a store stuff like that you could see someone coming or dressed inappropriately || I can see the benefits of banning handguns.
neutral || contradiction || The model is the same as that used by Cohen, et al. || The model is the very different from the one that Cohen uses.
contradiction || entailment || The official Versailles Web site (&lt;www.chateauversailles.fr&gt;) is well-organized and full of useful information. || Www.chateayversailles.fr, the official website of the Versailles is very easy to navigate.
neutral || neutral || thank you it's nice to have someone understand that || I have had a hard time explaining this to other people.
contradiction || contradiction || Information sharing and coordination among organizations are central to producing comprehensive and practical approaches and solutions to combating computer-based threats. || Combating computer-based threats does not necessitate coordination among organizations.
entailment || neutral || Agde presents a somber face ' many of its buildings were constructed from the local volcanic basalt, including the 12th-century Cathedrale Saint-Etienne ' but the narrow streets on the hill leading up to the market square are cheerful and friendly. || The cathedral is still in use as a parish church.
entailment || entailment || 12612, NHTSA determined that the proposed rule would not have sufficient federalism implications to warrant preparation of a Federalism Assessment. || NHTSA determined that the proposed rule would not have sufficient federalism implications
contradiction || contradiction || An' I seen you go down; a slug got you plumb center! the Texan sputtered. || The Texan didn't witness any shooting. 
neutral || entailment || The last data report available to us is for 1997. || 1997 is the most recent data report we can access.
entailment || entailment || Plastics, dyes, pharmaceuticals, solvents. || There were dyes and solvents.
neutral || neutral || You're thinking about making love to a woman. || You're thinking about making love to a woman with blonde hair.
entailment || neutral || If you stay in the Lake District for more than a few days you're sure to find a favorite. || If you stay long, you'll find a reason you'll want to come back every year.
contradiction || entailment || In Snip's offer, 10 percent of $5 million ($500,000) plus 89 percent of $1 million ($890,000) equals $1. || Snip is obviously very bad at even basic math.
neutral || neutral || Statuary found all around the Kingdom depicts both the important deities Osiris, Hathor, Isis and others and the Pharaohs of the major dynasties. || The ancient Egyptians were giving a great importance to Pharaohs, they were like gods.
entailment || neutral || And on Capital Gang , the team ran out the clock with silly segments on what hypothetical gift each of the panelists would give to various politicians, and what hypothetical gift they would give to each other. || On Capital Gang everyone had fun when discussing the gifts they would give politicians and one another.
neutral || contradiction || A deep chill ran through him as he stared down nearly a thousand feet to the razor sharp rocks peaking through the fog below. || He thought it would be easy to go down through all the rocks.
neutral || neutral || It tried to regain its independence from Rome, but proved too small and weak, and was conquered by Emperor Septimius Severus in a.d. 196. || Rome wanted to keep it under control to exploit the natural resources of the region.
entailment || contradiction || Together, these characteristics, among others, differentiate the federal CIO environment from other environments. || These characteristics prove the federal CIO environment is the same as other environments.
contradiction || contradiction || For the first time, and at the judiciary's request, Rhudy has sent every new legislator an orientation package about legal help for the poor. || No orientation package was given to new legislators.
neutral || neutral || The Human Genome Project, in fact, was built using the infrastructure of the nuclear-weapons program, taking over unused labs at Los Alamos, Berkeley, and Livermore. || This is the 45th year Government Executive magazine has handed out awards.
contradiction || entailment || The Ethnographic Museum, opposite, recreates the interiors of traditional local houses. || In the Ethnographic Museum are recreations of the insides of local houses.
entailment || neutral || And because the value of an option depends positively on volatility--the uncertainty about the future value of the underlying asset--the rational way to maximize the value of that option is to invest the money in the riskiest, most volatile assets you can find. || Investing in the riskiest asset will result in a very positive outcome.
neutral || entailment || Last March, surgeons operated in vivo on a 6-month-old fetus suffering from excessive water in his brain. || Surgeons operated on a 6 month old fetus.
neutral || contradiction ||  His voice carried clearly. || is voice was not easy to make out.
entailment || neutral || You might say this is my type. || The person has a peculiar taste. 
entailment || entailment || COLLATERAL -Real or personal property pledged as part or full security on a debt. || Property, whether real or personal, can be offered as collateral.
contradiction || contradiction || yeah that yeah i don't know if that's such a big problem here in Dallas || I think this is a huge problem here in Dallas.  
entailment || entailment || it's um it's just as long as you want to i mean it's just a || As long as you like.
neutral || neutral || Aberdeen, the island's oldest settlement, once a pirate lair, is home to the floating population ' the boat people who spend their entire lives on the junks in the harbor, some proudly claiming never to have set foot on land (except for funerals, which don't count). || The boat people of Aberdeen are known for being big exaggerators.
entailment || entailment || Just 90 minutes by train from the city, this area makes a very pleasant daytrip. || One can make a daytrip to this area.
neutral || neutral || The World Windsurfing Championships have been held here in August for the last several years. || Next year the World Windsurfing Championships will move, so this year is important to see.
entailment || entailment || The historic area of Nara is on the east side of the modern town, at the end of Sanjo-dori. || Nara is located on the east side of town through Sanjo-dori.
contradiction || contradiction || Others say James ascends from pulp fiction to high art, with well-drawn characters and turns of phrase of which Jane Austen might have been proud (Gerald Kaufman, the Daily Telegraph ). (An excerpt is available at Random House's site.) || Kaufman hated the book.
neutral || neutral || went and took the car because i told him there's a place in Arlington that's gonna give it to me for that price he said no they're not and the next day they || The place in Arlington ended up giving me a better price.
neutral || neutral || oh yeah yeah i was in there trying to do some studying this afternoon and laying down on the sofa and she gets up on my chest where i can't see the book and then if i am in here on the computer she has to get up on the desk || She will get in your way while you try to eat or move around the house.
entailment || neutral || DEAR Mr. CARTER, Something's turned up that has given me a jar. || Something has upset me about what I just saw.
contradiction || entailment || The landmarks are the air force headquarters (a modern copy of El Escorial) and Madrid's youngest triumphal arch, which commemorates the Franco victory of 1939. || The landmarks commemorate the Franco victory of 1939.
contradiction || contradiction || good well as a matter of fact i'm before we started this conversation i was working on my PC at home || I do not have a PC in my home.
neutral || entailment || Tragically, you had no choice but to support him once the commitment was made, but of course making it was irresponsible folly. || You needed to support him once you made the commitment.
entailment || entailment || The Kiosk of Emperor Trajan, a beautiful building with ornate floral capitals supported by elegant Corinthian columns, makes a striking contrast to the Egyptian temple designs. || The Kiosk of Emperor Trajan is decorated with floral capitals and Corinthian columns.
neutral || neutral || Snow Sports || There is skiing and snowboarding in the winter.
neutral || neutral || Representative and Quasi-representative Designs for Research on Teaching. || Representative designs change for research on teaching. 
entailment || contradiction || However, unenforcement of the H-2A wage rate and hiring preference implicitly allows the payment of a lower wage which has the effect of driving all wages for the area downward. || Average wages in an area will rise when a lower wage job is created.
entailment || neutral || The glories of Verona extend from its grand Roman arena to the palaces of the medieval and Renaissance families whose intrigues and love stories inspired Shakespeare. || Artists and designers of Verona inspired Shakespeare.
entailment || contradiction || His voice had risen and Red had to pull at him. || His quieted as he pushed Red.
contradiction || contradiction || yeah that's a fact i like John Elway i think he was a fabulous he he still is he's got a he's got a lot of years left in him || I think that John Elway is completely over-rated.
neutral || neutral || The influx of foreigners has added to pressures on the Himalayan environment, but it hasn't spoiled the friendliness of Nepalis, surely among the most welcoming people on earth. || The Nepalis were not always so friendly to the foreigners who pressured the Himalayan environment. 
neutral || entailment || The British health authorities, in their 1995 guidelines (Sensible Drinking), say that people who drink very little or not at all and are in an age group at high risk for heart disease should consider the possibility that light drinking might benefit their health. || Light drinking might be beneficial to the health of particular people. 
neutral || neutral || Among the highlights are the Desert Garden, with a vast maze of mature cacti; the Japanese garden, with its ponds, fish, and drum bridge; and the much-praised Rose Garden, showing the history of the roseover 2,000 years. || The Japanese garden has a stone replica of Godzilla hidden somewhere under the water.
entailment || entailment || In its September 2001 advisory on the draft analytical blueprint for the second Section 812 prospective analysis, the SAB cited the Thurston and Ito study as a significant advance in understanding the effects of ozone on daily mortality and recommended re-evaluation of the ozone mortality endpoint for inclusion in the next prospective study (EPA-SAB-COUNCIL-ADV-01-004, 2001). || The Thurston and Ito study helped understand the ozone.
entailment || neutral || yeah you're right you're right because mine goes from seventeen to nineteen yeah || My thermostat goes from 17 to 19.
neutral || neutral || On airplanes she helps herself to the little liquor bottles (she doesn't drink) and those plastic salt and pepper things. || She doesn't drink anymore but still enjoys collecting the tiny liquor bottles on her weekly flights.
entailment || entailment || what oh yeah it it still is your responsibility || You'll still be responsible.
neutral || neutral || Sparkman is the executive director of a Philadelphia nonprofit that places discarded church organs with poor schools' neglected music departments. || The schools were excited to receive the church organs.
